id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
561,Koe-jiau2-lan5,Koe-jiáu-lân,Kue-jiau2-lan5,Kue-jiáu-lân,鷄爪蘭,190
562,Phang-hoe,Phang-hoe,Phang-hue,Phang-hue,香花,190
563,Chhau3-sai2-lam5,Chhàu-sái-lâm,Tshau3-sai2-lam5,Tshàu-sái-lâm,臭屎楠,191
564,Soe3-hioh8-lam5,Sòe-hio̍h-lâm,Sue3-hioh8-lam5,Suè-hio̍h-lâm,細葉楠,191
565,Ng5-bah-chhiu7,N̂g-bah-chhiū,Ng5-bah-tshiu7,N̂g-bah-tshiū,黃肉樹,191
566,Thih-sai2-lam5,Thih-sái-lâm,Thih-sai2-lam5,Thih-sái-lâm,鐵屎楠,191
567,Bok8-ni2-chuiu7,Bo̍k-ní-chuiū,Bok8-ni2-tsuiu7,Bo̍k-ní-tsūiu,木耳樹,191
568,Koe-bai5,Koe-bâi,Kue-bai5,Kue-bâi,鷄眉,191
569,Loh8-khak-chan,Lo̍h-khak-chan,Loh8-khak-tsan,Lo̍h-khak-tsan,落殼櫕,191
570,Kiu2-kiong-ku7,Kiú-kiong-kū,Kiu2-kiong-ku7,Kiú-kiong-kū,九芎舅,191
571,Hoan-a2-oan,Hoan-á-oan,Huan-a2-uan,Huan-á-uan,蕃仔灣,191
572,Bo5-kun-chhau2,Bô-kun-chháu,Bo5-kun-tshau2,Bô-kun-tsháu,無根草,191
573,Chiunn,Chiuⁿ,Tsiunn,Tsiunn,樟,192
574,Pun2-chiunn,Pún-chiuⁿ,Pun2-tsiunn,Pún-tsiunn,本樟,192
575,Chhau3-chiunn,Chhàu-chiuⁿ,Tshau3-tsiunn,Tshàu-tsiunn,臭樟,192
576,Soann-chhau3-chiunn,Soaⁿ-chhàu-chiuⁿ,Suann-tshau3-tsiunn,Suann-tshàu-tsiunn,山臭樟,192
577,Soann-chiau2-chiunn,Soaⁿ-chiáu-chiuⁿ,Suann-tsiau2-tsiunn,Suann-tsiáu-tsiunn,山鳥樟,192
578,Chiau2-chiunn,Chiáu-chiuⁿ,Tsiau2-tsiunn,Tsiáu-tsiunn,鳥樟,192
579,Soann-chiau2-chiunn,Soaⁿ-chiáu-chiuⁿ,Suann-tsiau2-tsiunn,Suann-tsiáu-tsiunn,山鳥樟,192
580,Thoo2-jiok8-kui3,Thó͘-jio̍k-kùi,Thoo2-jiok8-kui3,Thóo-jio̍k-kuì,土肉桂,192
581,Chiunn-gu5,Chiuⁿ-gû,Tsiunn-gu5,Tsiunn-gû,樟牛,192
582,Gu5-chiunn,Gû-chiuⁿ,Gu5-tsiunn,Gû-tsiunn,牛樟,192
583,Phann3-chiunn,Phàⁿ-chiuⁿ,Phann3-tsiunn,Phànn-tsiunn,冇樟,193
584,Jiok8-kui3,Jio̍k-kùi,Jiok8-kui3,Jio̍k-kuì,肉桂,193
585,Kui3-ki,Kùi-ki,Kui3-ki,Kuì-ki,桂枝,193
586,A-li2-sim,A-lí-sim,A-li2-sim,A-lí-sim,阿里參,193
587,Hiunn-kui3,Hiuⁿ-kùi,Hiunn-kui3,Hiunn-kuì,香桂,193
588,Soann-jiok8-kui3,Soaⁿ-jio̍k-kùi,Suann-jiok8-kui3,Suann-jio̍k-kuì,山肉桂,193
589,Hiunn-kui3,Hiuⁿ-kùi,Hiunn-kui3,Hiunn-kuì,香桂,193
590,Thoo2-chiunn,Thó͘-chiuⁿ,Thoo2-tsiunn,Thóo-tsiunn,土樟,193
591,Kau-khak-kui3,Kau-khak-kùi,Kau-khak-kui3,Kau-khak-kuì,厚殼桂,193
592,Phang-kui3,Phang-kùi,Phang-kui3,Phang-kuì,攀桂,193
593,Phann3-kui3,Phàⁿ-kùi,Phann3-kui3,Phànn-kuì,冇桂,193
594,Thoo2-lam5,Thó͘-lâm,Thoo2-lam5,Thóo-lâm,土楠,193
595,Ng5-bah-chhiu7,N̂g-bah-chhiū,Ng5-bah-tshiu7,N̂g-bah-tshiū,黃肉樹,193
596,Chhau3-chiunn,Chhàu-chiuⁿ,Tshau3-tsiunn,Tshàu-tsiunn,臭樟,193
597,Lai7-tang-chi2,Lāi-tang-chí,Lai7-tang-tsi2,Lāi-tang-tsí,內冬子,194
598,Soann-ho-chio,Soaⁿ-ho-chio,Suann-ho-tsio,Suann-ho-tsio,山胡椒,194
599,Toa7-hioh8-lam5,Tōa-hio̍h-lâm,Tua7-hioh8-lam5,Tuā-hio̍h-lâm,大葉楠,195
