id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
22413,moa5-chi5-chhau2,môa-chî-chháu,mua5-tsi5-tshau2,muâ-tsî-tsháu,小葉灰藿,"N ",châng,,"goosefoot, Chenopodium serotium",
22414,moa5-chhiok,môa-chhiok,mua5-tshiok,muâ-tshiok,麻雀,"N R  ",chiah,,"sparrow, in Taiwan includes 1. Formosan tree sparrow, Passer montanus taiwanensis 2. Pescadores tree sparrow, Passer montanus bokotoensis 3. ruddy sparrow, Passer rutilans rutilans (col chhu3-chiau2-a2)",
22415,moa5-heng5,môa-hêng,mua5-hing5,muâ-hîng,山家麻鷺,"N ",chiah,,"bittern, Botaurus stellaris stellaris",
22416,moa5-hi5,môa-hî,mua5-hi5,muâ-hî,灰海鰻,"N ",bé,,"pike-eel, silver pike-eel, Muraenesox",
22417,moa5-hok8,môa-ho̍k,mua5-hok8,muâ-ho̍k,孝服,"N ",niá,,"clothing made of sackcloth (used in mourning, cf moa5-saN)",
22418,moa5-iu5,môa-iû,mua5-iu5,muâ-iû,麻油,"N ",,,"sesame oil, oil from seed of Sesamum orientale (cf chi-moa5, iu5-moa5, o.-moa5, peh8-moa5)",
22419,moa5-ko2,môa-kó,mua5-ko2,muâ-kó,麻桿,"N ",ki,,dried peeled hemp stalks,
22420,moa5-liam5,môa-liâm,mua5-liam5,muâ-liâm,鰻鯰,N Ich,bé,,"stinging catfish, eel-point catfish, Plotosus anguillaris",
22421,moa5-loo7,môa-lō͘,mua5-loo7,muâ-lōo,麻鷺,N Zool,chiah,,"brown night heron, Japanese night heron, Gorsakius goisagi",
22422,moa5-loo7,môa-lō͘,mua5-loo7,muâ-lōo,麻鷺,N Zool,chiah,,"eastern blank bittern, Dupetor flavicoelis major",
22423,moa5-ni5,môa-nî,mua5-ni5,muâ-nî,明年,"Nt ",,,next year,
22424,moa5-poo3,môa-pò͘,mua5-poo3,muâ-pòo,麻布,"N ",,,"burlap, sackcloth",
