id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
1,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,啞啞叫,"Vph ",,,cry (like a baby),
2,a-bi2-pa,a-bí-pa,a-bi2-pa,a-bí-pa,阿米巴,N Med,,,ameba,
3,a-bu2/bo2,a-bú/bó,a-bu2/bo2,a-bú/bó,媽媽,"Na ",ê,,"mother, mama ",
4,a-cha,a-cha,a-tsa,a-tsa,髒,"SV ",,"a-a cha-cha, a-cha a-cha ","dirty, soiled(syn a-cham, a5-sam5, la5-sam5, la3-sap) ",
5,a-cham,a-cham,a-tsam,a-tsam,髒,"SV ",,a-cham a-cham,"dirty, soiled (syn a-cha, etc)",
6,a-che2,a-ché,a-tse2,a-tsé,阿姊,"Na ",ê,,sister (elder),
7,a-chek,a-chek,a-tsik,a-tsik,叔叔,"Na ",ê,,uncle (father's younger brother),
8,a-chek,a-chek,a-tsik,a-tsik,爸爸,"Na ",ê,,father (used to avoid making the spirits jealous),
9,a-chi2,a-chí,a-tsi2,a-tsí,阿姊,"Na ",ê,,sister (elder),
10,a-chim2,a-chím,a-tsim2,a-tsím,嬸母,"Na ",ê,,aunt (mother's sister),
11,A-chiu,A-chiu,A-tsiu,A-tsiu,亞洲,"Np ",,,Asia,
12,a-choo2,a-chó͘,a-tsoo2,a-tsóo,曾祖父母,"Na ",ê,,great-grand parent (father's side),
13,a-he5,a-hê,a-he5,a-hê,亞蝦,"N ",bé/chiah,,"shrimp, Trachypenaeus asper",
14,a-hiann,a-hiaⁿ,a-hiann,a-hiann,哥哥,"Na ",ê,,brother (elder),
15,a-i5,a-î,a-i5,a-î,"阿姨                       ","Na ",ê,,aunt(mother's sister),
16,a-i5,a-î,a-i5,a-î,媽媽,"Na ",ê,,mother (used to avoid making the spirits jealous),
17,a-jiat8-tai3,a-jia̍t-tài,a-jiat8-tai3,a-jia̍t-tài,亞熱帶,"Np ",,,sub-tropical zone,
18,a-ke3-kau,a-kè-kau,a-ke3-kau,a-kè-kau,ㄚ髻鮫,N Ich,bé,,"any shark of the genus Sphyrne, hammerhead shark",
19,a-kim7,a-kīm,a-kim7,a-kīm,舅母,"Na ",ê,,aunt (mother's brother's wife),
20,a-ko,a-ko,a-ko,a-ko,哥哥,"Na ",ê,,brother (elder),
21,a-koo,a-ko͘,a-koo,a-koo,姑母,"Na ",ê,,aunt (father's sister),
22,a-kong,a-kong,a-kong,a-kong,祖父,"Na ",ê,,grandfather,
23,a-ku7,a-kū,a-ku7,a-kū,舅父,"Na ",ê,,uncle (mother's brother),
24,a-ku7,a-kū,a-ku7,a-kū,舅父,"Na ",ê,,brother-in-law (wife's brother),
25,a-kheng7,a-khēng,a-khing7,a-khīng,椏柏,"N ",châng,,"tallow tree, Sapium sebiferum",
26,A-la2,A-lá,A-la2,A-lá,阿賴,"Npers ",,,"Muslim: Allah, God",
27,A-lan5,A-lân,A-lan5,A-lân,亞蘭,"Np ",,,"Aram, Syria",
28,A-lat-pek,A-lat-pek,A-lat-pik,A-lat-pik,阿拉伯,"Np ",,,Arabic,
29,A-li2-san,A-lí-san,A-li2-san,A-lí-san,阿里山,"Np ",,,"Mt. Ali, Alishan",
30,A-li2-san bo5-hio8-lan5,A-lí-san bô-hio̍-lân,A-li2-san bo5-hio8-lan5,A-lí-san bô-hio̍-lân,阿里山無葉蘭,N Bot,châng,,"Alishanleafless orchid, Cheirostylis takeoi",
31,a-li2-san-eng,a-lí-san-eng,a-li2-san-ing,a-lí-san-ing,高砂鶯,"N ",chiah,,"Formosan bullfinch, Pyrrhula erythaca owstoni",
32,a-li2-san-jiu5,a-lí-san-jiû,a-li2-san-jiu5,a-lí-san-jiû,阿里山榆,N Bot,châng,,"Ali-shan elm, Ulmus ayematsui",
33,a-li2-san-ku5,a-lí-san-kû,a-li2-san-ku5,a-lí-san-kû,阿里山鴝,N Orn,chiah,,"Johnstone's bush robin, Tarsiger johnstoniae",
34,a-li2-san-liu2,a-lí-san-liú,a-li2-san-liu2,a-lí-san-liú,阿里山柳,N Bot,châng,,"Alishanwillow, mountain willow, Salix fulvopubescens",
35,a-li2-san-thian-go5-jiong5-chiam-chhu2,a-lí-san-thian-gô-jiông-chiam-chhú,a-li2-san-thian-go5-jiong5-tsiam-tshu2,a-lí-san-thian-gô-jiông-tsiam-tshú,阿里山天鵝绒尖鼠,N Zool,chiah,,"Alishan shrew, chodsigoa sodalis",
36,A-li2-su7-too-tek,A-lí-sū-to͘-tek,A-li2-su7-too-tik,A-lí-sū-too-tik,亞里斯多德,"Npers ",,,Aristotle,
37,A-li7-lu7-ia,A-lī-lū-ia,A-li7-lu7-ia,A-lī-lū-ia,阿利路亞,I Xtn,,,Alleluia!,
38,A-liok8-phai3,A-lio̍k-phài,A-liok8-phai3,A-lio̍k-phài,亞流派,N Xtn,,,Arianism,
39,a-m2,a-ḿ,a-m2,a-ḿ,伯母,"Na ",ê,,aunt (father's elder brother's wife),
40,a-m2,a-ḿ,a-m2,a-ḿ,伯母,"Na ",ê,,"auntie (polite for friend's mother, etc)",
41,a-ma2,a-má,a-ma2,a-má,祖母,"Na ",ê,,grandmother,
42,A-ma2-sun3,A-má-sùn,A-ma2-sun3,A-má-sùn,亞馬遜,"Np ",,,Amazon,
43,A-men,A-men,A-men,A-men,阿們," Xtn",,,End-of prayer marker: Amen,
44,a-mi-pah,a-mi-pah,a-mi-pah,a-mi-pah,阿米巴,"N ",,,Ameba,
45,A-mi2-chok8,A-mí-cho̍k,A-mi2-tsok8,A-mí-tso̍k,阿美族,"N ",,,Amis tribe (Taiwan aborigines),
46,a-mi2-no2-sng,a-mí-nó-sng,a-mi2-no2-sng,a-mí-nó-sng,氨基酸,"N ",,,amino-acid,
47,a-moo5-ni-a,a-mô͘-ni-a,a-moo5-ni-a,a-môo-ni-a,阿摩尼亞,"N ",,,ammonia,
48,A-moo5-su,A-mô͘-su,A-moo5-su,A-môo-su,亞毛斯,Npers RC,,,Amos (cf A-mo5-su7),
49,A-moo5-su,A-mô͘-su,A-moo5-su,A-môo-su,亞毛斯,Npers Prot,,,Amoz,
50,A-moo5-su7,A-mô͘-sū,A-moo5-su7,A-môo-sū,阿摩司,Npers Prot,,,Amos (cf A-mo5-su),
51,a-moa5,a-môa,a-mua5,a-muâ,亞麻,"N ",châng,,"flax, Linum uisitatissimum",
52,a-pa,a-pa,a-pa,a-pa,爸爸,"Na ",ê,,"father, daddy",
53,A-pak-ti2-a,A-pak-tí-a,A-pak-ti2-a,A-pak-tí-a,亞北底亞,Npers RC,,,"Abdias, Obadiah (cf O-pa-ti2)",
54,a-pe7,a-pē,a-pe7,a-pē,爸爸,"Na ",ê,,"father, daddy",
55,a-peh,a-peh,a-peh,a-peh,伯父,"Na ",ê,,uncle (father's elder brother),
56,a-peh-a,a-peh-a,a-peh-a,a-peh-a,老先生,"N ",,,old gentleman,
57,a-peh-a,a-peh-a,a-peh-a,a-peh-a,老先生,"Ra ",,,Sir (old gentleman),
58,A-pek-lah8-han2,A-pek-la̍h-hán,A-pik-lah8-han2,A-pik-la̍h-hán,亞伯拉罕,Npers Bib,,,Abraham,
59,A-pek-lan5,A-pek-lân,A-pik-lan5,A-pik-lân,亞伯蘭,Npers Bib,,,Abram,
60,a-peng-ko,a-peng-ko,a-ping-ko,a-ping-ko,阿兵哥,"N ",ê,,"soldier, Chinese G. I",
61,a-po5,a-pô,a-po5,a-pô,阿婆,"N ",ê,,elderly lady,
62,a-po5,a-pô,a-po5,a-pô,阿婆,"Ra ",ê,,"Madam, Ma'am",
63,a-po5-a,a-pô-a,a-po5-a,a-pô-a,阿婆,"N ",ê,,old woman,
64,a-put-to2,a-put-tó,a-put-to2,a-put-tó,"不倒翁                   ","N ",,,sian: roly-poly doll,
65,a-put-to2,a-put-tó,a-put-to2,a-put-tó,打不倒的,"N ",ê,,"fig: person who 'bounces back' after failure, less, etc",
66,a-phian3,a-phiàn,a-phian3,a-phiàn,鴉片,"N ",ko,,opium (scooped from the container),
67,a-phian3,a-phiàn,a-phian3,a-phiàn,鴉片,"N ",pok,,opium pellet (for smoking),
68,a-sa2-ga2-ooh,a-sá-gá-o͘h,a-sa2-ga2-ooh,a-sá-gá-ooh,牽牛花,"N ",châng,,"common morning glory, Ipomoea hardwickii",
69,a-sam,a-sam,a-sam,a-sam,台灣杉,"N ",châng,,"Taiwania, Taiwania cryptomerioides",
70,a-sam,a-sam,a-sam,a-sam,台灣杉,"Nmod ",,,"Asia, Asian",
71,a-se-a,a-se-a,a-se-a,a-se-a,亞細亞,"Np ",,,"Asia (obs, cf A-chiu)",
72,a-soann(-a2),a-soaⁿ(-á),a-suann(-a2),a-suann(-á),外省人,"N ",ê,,mainlander (impolite),
73,a-su2-phi2-lin2,a-sú-phí-lín,a-su2-phi2-lin2,a-sú-phí-lín,阿斯匹靈,"N ",lia̍p,,"aspirin, acetylsalicylic acid",
74,a-tat-chi2,a-tat-chí,a-tat-tsi2,a-tat-tsí,砂糖椰子,"N ",châng,,"sago palm, Arenga pinnata",
75,a-tok-a2,a-tok-á,a-tok-a2,a-tok-á,洋鬼子,"Na ",,,"foreigner (""pointed nose"", a nickname for foreigners in general)",
76,A-tong,A-tong,A-tong,A-tong,亞當,Npers Bib,,,Adam,
77,a2,á,a2,á,一點,"Msf ",,,"little, short, few (has the effect of changing M into N or Nsub)",
78,a2,á,a2,á,子,"sf ",,,"(something diminutive, occurring in the following patterns)",
79,a2,á,a2,á,子,"sf ",,,N+a2 (see the respective noun),
80,a2,á,a2,á,子,"sf ",,,chit8+M+a2 (see chit8) nng7+M+a2 (see nng7),
81,a2,á,a2,á,子,"sf ",,,Nu+Nu+M+a2 (chit8-nng7-jit8-a2: about two days; gou7 lak8 jit8-a2: about six days),
82,a2,á,a2,á,百,"Nu ",,,hundred (ji7-a2-saN: two hundred thirty; saN-a2-si3: three hundred forty),
83,a2,á,a2,á,"或 , 或是","C(Q) ",,,used to link alternative elements in an interrogative sentence) : …or…?,
84,a2-ne2-a2,á-né-á,a2-ne2-a2,á-né-á,媽媽,"Na ",,,mother,
85,a2-si7,á-sī,a2-si7,á-sī,或許,"Cvb, Cn ",,,"either, or",
86,a2-tia,á-tia,a2-tia,á-tia,公公,"Na ",,,father,
87,a2,á,a2,á,啊,"I ",,,oh!,
88,a2,á,a2,á,啦,"BF ",,,"(sf used to form a large number of Interjections) (khou-a3: Alas!, Chham2-a3: Alas! etc)",
89,A7-beng7,Ā-bēng,A7-bing7,Ā-bīng,阿們," Xtn",,,"End-of prayer marker: Amen (obs, cf A-men)",
90,a2-pa3,á-pà,a2-pa3,á-pà,蠻不講理,"SV ",,á-pà á-pà,"head-strong, unreasonable",
91,a2-seng3,á-sèng,a2-sing3,á-sìng,亞聖," Title",,,"(given to Mencius, second only to Confucius)",
92,a5,â,a5,â,咦,"I ",,,Ah! Aha! (surprise or suspicion),
93,a5-sam5,â-sâm,a5-sam5,â-sâm,污穢,"SV ",,,"dirty (syn a-cha, etc)",
94,a7,ā,a7,ā,也,"Cvb, Cn ",,,"also, and",
95,a7-na2-beh a7-na2-m7,ā-ná-beh ā-ná-m̄,a7-na2-beh a7-na2-m7,ā-ná-beh ā-ná-m̄,半推半就,"sph ",,,be half-hearted,
96,ann-ann-hau2/kio3,aⁿ-aⁿ-háu/kiò,ann-ann-hau2/kio3,ann-ann-háu/kiò,啞啞叫,"Vph ",,,cry (like a baby),
97,ann2,áⁿ,ann2,ánn,"擁                     ","V ",,,shelter with one's body,
98,ann2,áⁿ,ann2,ánn,(收)養,"V ",,,adopt (a child),
99,ann3,àⁿ,ann3,ànn,彎腰,"V ",,àN-àN,"bend down, bow, stoop",
100,ann5,âⁿ,ann5,ânn,咦,"I ",,,Ah! Aha! (surprise or suspicion),
101,ann5,âⁿ,ann5,ânn,"保護                        ","V ",,,"protect (child) from harm, intervene to protect",
102,ann5,âⁿ,ann5,ânn,趕,"V ",,,"herd (ducks, etc), drive (fish into net)",
103,ann5-chah8,âⁿ-cha̍h,ann5-tsah8,ânn-tsa̍h,攔截(住),"V ",,,intervene (on behalf of someone) in a fight or quarrel,
104,ann7,āⁿ,ann7,ānn,餡,"N ",,,"filling (of pie, cake, etc)",
105,ann7,āⁿ,ann7,ānn,遮蓋,"V ",,,"shelter, cover",
106,ah,ah,ah,ah,啊,"I ",,,Oh!,
107,ah,ah,ah,ah,啦," ",,,Final particle (indicating action complete),
108,ah,ah,ah,ah,押,"V ",,,"escort, guard, restrain",
109,ah,ah,ah,ah,押,"V ",,,mark (the date on a document),
110,ah,ah,ah,ah,押,"V ",,,agree (in rhyme),
111,ah,ah,ah,ah,押,"N ",,,collateral,
112,ah,ah,ah,ah,抑制,"V ",,,"force or compel (sthg to stay in place), curb",
113,ah,ah,ah,ah,壓,"V ",,,"press, oppress, repress",
114,ah,ah,ah,ah,鴨,"N ",chiah,,duck (female),
115,ah-bah,ah-bah,ah-bah,ah-bah,鴨肉,"N ",,,duck meat,
116,ah-bo2,ah-bó,ah-bo2,ah-bó,母鴨,"N ",chiah,,duck (female),
117,ah-bo2-leh8,ah-bó-le̍h,ah-bo2-leh8,ah-bó-le̍h,斗笠,N ST,,,large rain-hat (cf hou7-leh8),
118,ah-bo2/bu2-te5/toe5,ah-bó/bú-tê/tôe,ah-bo2/bu2-te5/tue5,ah-bó/bú-tê/tuê,平底腳,"N ",,,flat feet,
119,ah-bu2,ah-bú,ah-bu2,ah-bú,母鴨,"N ",,,duck (female),
120,ah-bu2-chhau2,ah-bú-chháu,ah-bu2-tshau2,ah-bú-tsháu,鴨母草,N Bot,châng,,"a kind of motherwort, Leonurus sibiricus",
121,ah-bu2-chhau2,ah-bú-chháu,ah-bu2-tshau2,ah-bú-tsháu,鴨母草,N Bot,châng,,Lindernia ciliata,
122,ah-bu2-chhi7,ah-bú-chhī,ah-bu2-tshi7,ah-bú-tshī,江某,"N ",châng,,"common schefflera, schefflera octophylla",
123,ah-che3,ah-chè,ah-tse3,ah-tsè,抑制,"V ",,,inhibit,
124,ah-chih8-chhau2,ah-chi̍h-chháu,ah-tsih8-tshau2,ah-tsi̍h-tsháu,鴨舌草,"N ",châng,,"""duck's-tongue grass"", Manochoria vaginalis var. plantaginea",
125,ah-chih8-hong5,ah-chi̍h-hông,ah-tsih8-hong5,ah-tsi̍h-hông,鴨舌黃,N Bot,châng,,Lindernia ciliata,
126,ah-chih8-hong5,ah-chi̍h-hông,ah-tsih8-hong5,ah-tsi̍h-hông,鴨舌黃,N Bot,châng,,Borreria hispida,
127,ah-chih8-hong5,ah-chi̍h-hông,ah-tsih8-hong5,ah-tsi̍h-hông,鴨舌黃,N Bot,châng,,Lippia nodiflora,
128,ah-choo,ah-cho͘,ah-tsoo,ah-tsoo,押租,"N ",,,rental deposit,
129,ah-chhih8,ah-chhi̍h,ah-tshih8,ah-tshi̍h,壓,"V ",,,"crush down, press down",
130,ah-chhui3(-poe)-hong5,ah-chhùi(-poe)-hông,ah-tshui3(-pue)-hong5,ah-tshuì(-pue)-hông,鴨嘴箆黃,N Bot,châng,,Lippia nodiflora,
131,ah-chhui3-moa5,ah-chhùi-môa,ah-tshui3-mua5,ah-tshuì-muâ,鴨嘴鰻,N Ich,bé,,"duckbill eel, any member of the genus Chlopsis",
132,ah-hoo2,ah-hó͘,ah-hoo2,ah-hóo,花梨隼,"N ",chiah,,"Siberian peregrine falcon, Falco peregrinus leucogenys",
133,ah-kang,ah-kang,ah-kang,ah-kang,雄鴨,"N ",chiah,,"drake, male duck",
134,ah-kian7-tin5,ah-kiān-tîn,ah-kian7-tin5,ah-kiān-tîn,台灣鴨腱藤,"N ",châng,,"soap-bark vine, Entada phaseoloides",
135,ah-kha-hiunn,ah-kha-hiuⁿ,ah-kha-hiunn,ah-kha-hiunn,金雞腳,"N ",châng,,"""duck-foot"" fern, Crypsinus hastatus",
136,ah-kha-pe5,ah-kha-pê,ah-kha-pe5,ah-kha-pê,金雞腳,"N ",châng,,"""duck-foot"" fern, Crypsinus hastatus",
137,ah-kha-sek,ah-kha-sek,ah-kha-sik,ah-kha-sik,鴨跖粟,"N ",châng,,"finger millet, raggee, Eleusine coracana",
138,ah-kha-soe2,ah-kha-sóe,ah-kha-sue2,ah-kha-sué,鴨跖粟,"N ",châng,,"finger millet, raggee, Eleusine coracana",
139,ah-kha-soe2,ah-kha-sóe,ah-kha-sue2,ah-kha-sué,鴨跖粟,"N ",châng,,"millet, Panicuns miliaceum",
140,ah-khoan2,ah-khoán,ah-khuan2,ah-khuán,押款,"N ",,,"deposit, guarantee-money",
141,ah-moa5-koe,ah-môa-koe,ah-mua5-kue,ah-muâ-kue,江某,"N ",châng,,"common schefflera, Schefflera octophylla",
142,ah-nng7,ah-nn̄g,ah-nng7,ah-nn̄g,鴨蛋,"N ",lia̍p,,duck egg,
143,ah-nng7-chhinn,ah-nn̄g-chhiⁿ,ah-nng7-tshinn,ah-nn̄g-tshinn,淡青色,"N ",,,"pale blue (color) ",
144,ah-nng7-jin5,ah-nn̄g-jîn,ah-nng7-jin5,ah-nn̄g-jîn,黃眉黃鶲,"N ",chiah,,"Narcissus flycatcher, Muscicapa narcissina narcissina",
145,ah-soah,ah-soah,ah-suah,ah-suah,抑制,"V ",,,restrain,
146,ah-toe5-chhau2,ah-tôe-chháu,ah-tue5-tshau2,ah-tuê-tsháu,金雞腳,"N ",châng,,"""duck-foot"" fern, Crypsinus hastatus",
147,ah-toe5-soe2,ah-tôe-sóe,ah-tue5-sue2,ah-tuê-sué,鴨拓粟,N Bot,châng,,"finger millet, raggee, Eleusine coracana",
148,ah-tho5-chu,ah-thô-chu,ah-tho5-tsu,ah-thô-tsu,鴨土珠,"N ",châng,,Phyllanthus niruri,
149,ah-un7,ah-ūn,ah-un7,ah-ūn,押韻,"VO ",,,"agree in rhyme, rhyme well",
150,ah8,a̍h,ah8,a̍h,盒,"M, N ",,,"small box, case",
151,ah8,a̍h,ah8,a̍h,趕,"V ",,,"force to turn (as a flock of ducks, etc)",
152,"Ai, ai","Ai, ai","Ai, ai","Ai, ai",," ",,,,
153,ai,ai,ai,ai,唉呀,"I ",,,"Alas! Oh! (grief, pain, distress)",
154,ai,ai,ai,ai,唉呀,"V ",,,"scream, wail",
155,ai-ai-hau2/ kio3,ai-ai-háu/ kiò,ai-ai-hau2/ kio3,ai-ai-háu/ kiò,唉呀,"Vph ",,,"cry, wail",
156,ai-chham2,ai-chhám,ai-tsham2,ai-tshám,哀傷,"SV ",,,"deeply distressed, grieved",
157,ai-chhan,ai-chhan,ai-tshan,ai-tshan,呻吟,"V ",,,groan,
158,ai-hau2,ai-háu,ai-hau2,ai-háu,哀叫,"V ",,,cry,
159,ai-ioh,ai-ioh,ai-ioh,ai-ioh,唉,"I ",,,"Ouch! Hey! (pain, surprise)",
160,ai-keng,ai-keng,ai-king,ai-king,善行,N RC,,,"works of mercy, charitable actions",
161,ai-kio3,ai-kiò,ai-kio3,ai-kiò,悲傷,"V ",,,cry (in distress),
162,Ai-kip8,Ai-ki̍p,Ai-kip8,Ai-ki̍p,埃及,"Np ",,,Egypt,
163,ai-kip8-chhoe-mi5-kai3-khak-thang5,ai-ki̍p-chhoe-mî-kài-khak-thâng,ai-kip8-tshue-mi5-kai3-khak-thang5,ai-ki̍p-tshue-mî-kài-khak-thâng,埃及吹棉介殼虫,N Ent,chiah,,"Egyptian cotton scale, Icerya aegyptiaca",
164,ai-kiu5,ai-kiû,ai-kiu5,ai-kiû,哀求,"V ",,,"beseech, implore",
165,ai-kiu5,ai-kiû,ai-kiu5,ai-kiû,哀求,"N ",,,"supplication, entreaty",
166,Ai-ni2-lan5,Ai-ní-lân,Ai-ni2-lan5,Ai-ní-lân,愛爾蘭,"Np ",,,Ireland,
167,ai-oan3,ai-oàn,ai-uan3,ai-uàn,哀怨,"V ",,,repine bitterly,
168,ai-oan3,ai-oàn,ai-uan3,ai-uàn,哀怨,"N ",,,"repining, dejection",
169,ai-oh,ai-oh,ai-oh,ai-oh,噯唷,"I ",,,Ah! Alas! (regret),
170,ai-sia7,ai-siā,ai-sia7,ai-siā,(哀)謝,"N, V ",,,(a means used to) express thanks to visitors attending a funeral,
171,ai-siong,ai-siong,ai-siong,ai-siong,哀傷,"SV ",,,"sorrowful, mournful",
172,ai-su5,ai-sû,ai-su5,ai-sû,輓聯,"N ",,,"elegy, eulogy (cf tiau3-su5)",
173,Ai-tian5,Ai-tiân,Ai-tian5,Ai-tiân,伊甸園,Np Bib,,,Eden,
174,ai-tinn,ai-tiⁿ,ai-tinn,ai-tinn,微甜,"SV ",,,somewhat sweet,
175,ai2-ah,aí-ah,ai2-ah,ái-ah,噯呀,"I ",,,Ouch! Ow! (pain),
176,ai2-bi7,aí-bī,ai2-bi7,ái-bī,發臭的味,"N ",,,moldy flavor,
177,ai2-sim5,aí-sîm,ai2-sim5,ái-sîm,埃蕈,N Bot,lúi,,"an edible puffball, Lycoperdon gemmatum",
178,ai3,aì,ai3,ài,愛,"V ",,,"love (person), like (thing)",
179,ai3,aì,ai3,ài,要,"AV ",,,"want to, would like to",
180,ai3,aì,ai3,ài,要,"AV ",,,"feel like, need to",
181,ai3,aì,ai3,ài,會,"AV ",,,"might (catch cold, have a stomach ache, cry, etc)",
182,ai3-a5,aì-â,ai3-a5,ài-â,噯呀,"I ",,,Ah! Oh! (wonder),
183,ai3-ah8,aì-a̍h,ai3-ah8,ài-a̍h,唉啊,"I ",,,"Oh! Ouch! Damn! (surprise, pain, sudden anger)",
184,ai3-beh,aì-beh,ai3-beh,ài-beh,要,"AVph ",,,"want to, wish to",
185,ai3-boo7,aì-bō͘,ai3-boo7,ài-bōo,愛慕,"V ",,,"desire, long for, love (a person)",
186,ai3-boo7,aì-bō͘,ai3-boo7,ài-bōo,愛慕,"V ",,,"admire, adore",
187,ai3-cheng5,aì-chêng,ai3-tsing5,ài-tsîng,愛情,"N ",,,"affection, love",
188,ai3-chu2,aì-chú,ai3-tsu2,ài-tsú,愛子,"N ",,,beloved child,
189,ai3-chhan,aì-chhan,ai3-tshan,ài-tshan,愛餐,N Xtn,,,"agape, ""love-feast"" (cf ai3-ian3)",
190,ai3-hoo7,aì-hō͘,ai3-hoo7,ài-hōo,愛護,"V ",,,"protect lovingly, take care of",
191,ai3-hoo7,aì-hō͘,ai3-hoo7,ài-hōo,愛護,"N ",,,"kindly treatment, tender care",
192,ai3-hoonn3,aì-hò͘ⁿ,ai3-hoonn3,ài-hòonn,愛好,"V ",,,"like, be fond of",
193,ai3-hoonn3,aì-hò͘ⁿ,ai3-hoonn3,ài-hòonn,愛好,"N ",,,"fondness, liking",
194,ai3-ian3,aì-iàn,ai3-ian3,ài-iàn,愛宴,N Xtn (Little Flock),,,"agape, ""love-feast""",
195,ai3-iok8,aì-io̍k,ai3-iok8,ài-io̍k,慾望,"N ",,,"passion, physical desire",
196,ai3-jin5,aì-jîn,ai3-jin5,ài-jîn,愛人,"N ",,,sweetheart,
197,ai3-koo3,aì-kò͘,ai3-koo3,ài-kòo,照顧,"V ",,,treat kindly and considerately,
198,ai3-koo3,aì-kò͘,ai3-koo3,ài-kòo,照顧,"N ",,,kind assistance,
199,ai3-kok,aì-kok,ai3-kok,ài-kok,愛國,"SV ",,,patriotic,
200,ai3-khau2,aì-kháu,ai3-khau2,ài-kháu,隘口,"N ",,,"defile, entrance, narrow pass",
201,ai3-khun3,aì-khùn,ai3-khun3,ài-khùn,睏倦,"SV ",,,sleepy,
202,ai3-mai7,aì-māi,ai3-mai7,ài-māi,曖昧,"SV ",,,"ambiguous, obscure, vague",
203,ai3-mai7,aì-māi,ai3-mai7,ài-māi,曖昧,"N ",,,"ambiguity, obscurity, vagueness",
204,ai3-sim,aì-sim,ai3-sim,ài-sim,愛心,"N ",,,"loving heart, friendly attitude",
205,ai3-sioh,aì-sioh,ai3-sioh,ài-sioh,愛惜,"V ",,,"love, take good care of (time, objects)",
206,ai3-sioh,aì-sioh,ai3-sioh,ài-sioh,愛惜,"N ",,,"love, special care",
207,ai3-tai3,aì-tài,ai3-tai3,ài-tài,愛戴,"V, N ",,,love and  respect (a person),
208,ai5,aî,ai5,âi,咦,"I ",,,Ah! Aha! (surprise and suspicion),
209,ai5--ia3,aî--ià,ai5--ia3,âi--ià,啊呀,"I ",,,"Oh! Alas! Woe! (sadness, grief)",
210,ai5-o3/oh,aî-ò/oh,ai5-o3/oh,âi-ò/oh,唉唷,"I ",,,"Oh! Ouch! (surprise, pain)",
211,"Ainn, ainn","Aiⁿ, aiⁿ","Ainn, ainn","Ainn, ainn",," ",,,,
212,ainn7,aīⁿ,ainn7,āinn,背(孩子),"V ",,,carry (a child) on the back,
213,ainn7-kin/kun,aīⁿ-kin/kun,ainn7-kin/kun,āinn-kin/kun,襁巾,"N ",,,cloth for carrying (a child) on the back,
214,"Ak, ak","Ak, ak","Ak, ak","Ak, ak",," ",,,,
215,ak,ak,ak,ak,淋澆,"V ",,,"water (flowers, vegetables)",
216,ak,ak,ak,ak,淋澆,"V ",,,flood (a paddy) with water,
217,ak,ak,ak,ak,淋澆,"V ",,,"drench (of rain watering flowers, etc)",
218,ak-chak,ak-chak,ak-tsak,ak-tsak,齷齪,"SV ",,,"in disorder, a mess",
219,ak-chak,ak-chak,ak-tsak,ak-tsak,心亂,"SV ",,,upset (emotionally),
220,ak chui2,ak chúi,ak tsui2,ak tsuí,澆水,"VO ",,,"water (plants), drench with water",
221,ak-chhiu2,ak-chhiú,ak-tshiu2,ak-tshiú,握手,"VO ",,,shake hands,
222,ak-hoo7,ak-hō͘,ak-hoo7,ak-hōo,淋雨,"Vpass ",,,be drenched with rain,
223,ak-hoo7,ak-hō͘,ak-hoo7,ak-hōo,淋雨,"VO ",,,drench with rain,
224,ak-pui5,ak-pûi,ak-pui5,ak-puî,施肥,"VO ",,,drench with fertilizer or night-soil,
225,ak-tam5,ak-tâm,ak-tam5,ak-tâm,淋濕,"RV ",,,drench,
226,ak8,a̍k,ak8,a̍k,捲線筒,"N ",,,reel,
227,ak8,a̍k,ak8,a̍k,線軸,"N ",,,"bobbin, spool",
228,"Am, am","Am, am","Am, am","Am, am",," ",,,,
229,am,am,am,am,掩蓋,"V ",,,cover (sthg) completely (so that it cannot be seen),
230,am,am,am,am,醃,"V ",,,pickle (in brine),
231,am-bah,am-bah,am-bah,am-bah,醃肉,"VO ",,,pickle meat (in brine),
232,am-bah,am-bah,am-bah,am-bah,醃肉,"N ",,,pickled meat,
233,am-cham,am-cham,am-tsam,am-tsam,骯髒，污穢,"SV ",,,"dirty, filthy",
234,am-kng,am-kng,am-kng,am-kng,水缸,"N ",ê,,"crock, water jar",
235,am-koe,am-koe,am-kue,am-kue,越瓜,"N ",châng,,"oriental pickling melon, Cucumis melo var. cognomen form. albus",
236,am-koe,am-koe,am-kue,am-kue,庵瓜,"N ",châng,,Cucumis melo form. viridis,
237,am-kham3,am-khàm,am-kham3,am-khàm,掩蓋，隱瞞,"V ",,,"conceal, cover up, hide (crime), keep secret",
238,am2,ám,am2,ám,泔,"N ",,,rice-water,
239,am2,ám,am2,ám,米湯,"SV ",,ám-ám,"watery, thin (liquid)",
240,am2-be5/ moe5/moai5,ám-bê/ môe/moâi,am2-be5/ mue5/muai5,ám-bê/ muê/muâi,稀飯,"N ",,,rice gruel,
241,am3,àm,am3,àm,晚,"SV ",,,late (at night),
242,am3,àm,am3,àm,暗,"SV ",,àm-àm,dark (color),
243,am3,àm,am3,àm,暗,"SV ",,"àm-àm, àm-bo̍k-bo̍k, àm-bong-bong, àm-sô-sô",dark (night),
