id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
68,am3-ki3,,àm-kì,,am3-ki3,,àm-kì,,暗記、背念,12
69,am3-siong7,,àm-siōng,,am3-siong7,,àm-siōng,,背誦,13
70,am3-ho7,,àm-hō,,am3-ho7,,àm-hō,,暗號,13
71,am3-sek,,àm-sek,,am3-sik,,àm-sik,,暗室,13
72,am3-sat,,àm-sat,,am3-sat,,àm-sat,,暗殺,13
73,am3-si7,,àm-sī,,am3-si7,,àm-sī,,暗示,13
74,am5-khang,,âm-khang,,am5-khang,,âm-khang,,暗渠、暗溝,14
75,an2-choann2,chai2-iunn7/na2,án-chóaⁿ,chái-iūⁿ/ná,an2-tsuann2,tsai2-iunn7/na2,án-tsuánn,tsái-iūnn/ná,怎麼,14
76,an2-ni,,án-ni,,an2-ni,,án-ni,,這樣、如此,14
77,an5,,ân,,an5,,ân,,緊,14
78,an-choan5,,an-choân,,an-tsuan5,,an-tsuân,,安全,14
79,an-choan5 te7-it,,an-choân tē-it,,an-tsuan5 te7-it,,an-tsuân tē-it,,安全第一,14
80,an-sim,,an-sim,,an-sim,,an-sim,,放心,14
81,an-lok8,,an-lo̍k,,an-lok8,,an-lo̍k,,安樂,15
82,an-un2,,an-ún,,an-un2,,an-ún,,安穩,15
83,an-ui3,,an-uì,,an-ui3,,an-uì,,安慰,15
84,an3-sng3,,àn-sǹg,,an3-sng3,,àn-sǹg,,打算,15
85,an3-kiann7,,àn-kiāⁿ,,an3-kiann7,,àn-kiānn,,案件,16
86,ang5,,âng,,ang5,,âng,,紅,16
87,ang5-sek,,âng-sek,,ang5-sik,,âng-sik,,紅色,16
88,ang5-te5,,âng-tê,,ang5-te5,,âng-tê,,紅茶,16
89,ang5-inn-a2,ang5-enn-a2,âng-iⁿ-á,âng-eⁿ-á,ang5-inn-a2,ang5-enn-a2,âng-inn-á,âng-enn-á,嬰孩,16
90,senn ang5-enn-a2,sinn ang5-inn-a2,seⁿ âng-eⁿ-á,siⁿ âng-iⁿ-á,senn ang5-enn-a2,sinn ang5-inn-a2,senn âng-enn-á,sinn âng-inn-á,生嬰孩,16
91,ang-a2,,ang-á,,ang-a2,,ang-á,,玩偶、洋娃娃、卡通,16
92,ang-a2 too5,,ang-á tô͘,,ang-a2 too5,,ang-á tôo,,卡通、圖畫,16
93,ang,,ang,,ang,,ang,,丈夫,17
