id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
22797,ǹg-bāng,ng3-bang7,ǹg-bāng,ng3-bang7,"V ",,,希望,"expect, hope",
22798,ǹg-bāng,ng3-bang7,ǹg-bāng,ng3-bang7,"N ",,,希望,"expectation, hope",
22799,ǹg-chêng,ng3-cheng5,ǹg-tsîng,ng3-tsing5,"Vph ",,,向前,facr forward,
22800,ǹg-chêng,ng3-cheng5,ǹg-tsîng,ng3-tsing5,"Vmod ",,,向前,forward,
22801,ǹg-hiòng,ng3-hiong3,ǹg-hiòng,ng3-hiong3,"V ",,,向,"face toward, keep the eye on",
22802,ǹg-tǹg/tn̄g,ng3-tng3/tng7,ǹg-tǹg/tn̄g,ng3-tng3/tng7,"V ",,,慍忳(動作緩慢),"be idle, be obstinate, be self-willed",
22803,n̂g,ng5,n̂g,ng5,"N ",,,黃,yellow,
22804,n̂g,ng5,n̂g,ng5,"N ",,,黃,Hwang(surname),
22805,n̂g-ah,ng5-ah,n̂g-ah,ng5-ah,"N ",chiah,,瀆鳧,"ruddy sheldrake, Cascara ferruginea",
22806,n̂g-an-khong,ng5-an-khong,n̂g-an-khong,ng5-an-khong,N Ich,bé,,黃魚安魚康,"a kind of angler-fish, Lophius litulon",
22807,n̂g-aû-tiau,ng5-au5-tiau,n̂g-âu-tiau,ng5-au5-tiau,N Zool,chiah,,黃喉貂,"Formosan yellow-throated marten, Charronia flavigula chrysospila",
22808,n̂g-bah-chhiū,ng5-bah-chhiu7,n̂g-bah-tshiū,ng5-bah-tshiu7,"N ","châng  ",,黃肉楠,"Taiwan actinodaphne, pedicellate actinodaphne, Actinodaphne pedicellata",
22809,n̂g-bah-lâm,ng5-bah-lam5,n̂g-bah-lâm,ng5-bah-lam5,"N ",châng,,黃肉楠,"Taiwan cryptocarya, Cryptocarya konishii",
22810,n̂g-bah-tō͘,ng5-bah-too7,n̂g-bah-tōo,ng5-bah-too7,"N ",châng,,南投石樺,"Nantou tanoak, Pasania nantoensis",
22811,n̂g-bâi,ng5-bai5,n̂g-bâi,ng5-bai5,"N ",chiah,,黃眉巫鳥,"yellow-throated bunting, Emberiza elegans elegans",
22812,n̂g-bâi-bû,ng5-bai5-bu5,n̂g-bâi-bû,ng5-bai5-bu5,N Orn,chiah,,黃眉巫鳥,"yellow-throated bunting, Emberiza elegans elegans",
22813,n̂g-bâi-chek-lêng,ng5-bai5-chek-leng5,n̂g-bâi-tsik-lîng,ng5-bai5-tsik-ling5,"N ",chiah,,長爪黃眉黃鶺鴒,"eastern yellow-wagtail, Motacilla flava taiwana",
22814,n̂g-bâi-chú,ng5-bai5-chu2,n̂g-bâi-tsú,ng5-bai5-tsu2,"N ",chiah,,黃眉巫鳥,"yellow-throated bunting, Emberiza elegans elegans",
22815,n̂g-bâi-chhái-ong,ng5-bai5-chhai2-ong,n̂g-bâi-tshái-ong,ng5-bai5-tshai2-ong,"N ",chiah,,黃眉黃鶲,"Nacissus flycatcher, Mucicapa narcissina narcissina",
22816,n̂g-bâi-ki-ong,ng5-bai5-ki-ong,n̂g-bâi-ki-ong,ng5-bai5-ki-ong,"N ",chiah,,黃眉黃鶲,"Narcissus flycatcher, Muscicapa narcissina carcissina",
22817,n̂g-bâi-liú-eng,ng5-bai5-liu2-eng,n̂g-bâi-liú-ing,ng5-bai5-liu2-ing,N Orn,chiah,,黃眉柳鶯,"yellow-browed willow warbler, Phylloscopus inornatus inornatus",
22818,n̂g-bâi-n̂g-ong,ng5-bai5-ng5-ong,n̂g-bâi-n̂g-ong,ng5-bai5-ng5-ong,N Orn,chiah,,黃眉黃鶲,"Narcissus flycatcher, Muscicapa narcissina narcissina",
22819,n̂g-bâi-pit,ng5-bai5-pit,n̂g-bâi-pit,ng5-bai5-pit,N Orn,chiah,,黃眉必鳥,"large arctic willow warbler, Swinhoe's willow warbler, Acanthopneuste borealis xanthodryas",
22820,n̂g-bé-lân-hoe-jî,ng5-be2-lan5-hoe-ji5,n̂g-bé-lân-hue-jî,ng5-be2-lan5-hue-ji5,"N ",chiah,,長爪黃眉黃鶺鴒,"eastern yellow wagtail, Motacilla flava taiwana",
22821,n̂g-bé-lân-hoe-jî,ng5-be2-lan5-hoe-ji5,n̂g-bé-lân-hue-jî,ng5-be2-lan5-hue-ji5,"N ",chiah,,長爪黃眉黃鶺鴒,"eastern blue-headed wagtail, Motacilla flava simillima",
22822,n̂g-bêng,ng5-beng5,n̂g-bîng,ng5-bing5,"N ",chiah,,黃螟,"a yellow moth that attacks sugarcane, Eucosma schistaveana",
22823,n̂g-chek-lêng,ng5-chek-leng5,n̂g-tsik-lîng,ng5-tsik-ling5,N Orn,chiah,,黃鶺鴒,"eastern grey wagtail, Motacilla cinerea caspica",
22824,n̂g-chéng,ng5-cheng2,n̂g-tsíng,ng5-tsing2,"N ",,,黃種,yellow races,
22825,n̂g-chèng,ng5-cheng3,n̂g-tsìng,ng5-tsing3,"N ",,,黃疸病,jaundice,
22826,n̂g-chí-kiô,ng5-chi2-kio5,n̂g-tsí-kiô,ng5-tsi2-kio5,"N ",châng,,黃子茄,"poisonous solanaceous plant with large white fruit, Solanum incanum",
22827,n̂g-chong,ng5-chong,n̂g-tsong,ng5-tsong,"N ",chiah,,栗小鷺,"cinnamon bittern, chestnet bittern, Ixobrychus cinnamomeus",
22828,n̂g-chhiok,ng5-chhiok,n̂g-tshiok,ng5-tshiok,"N ",chiah,,金翅雀,"siskin, Carduelis spinus",
22829,n̂g-chhú-chiū,ng5-chhu2-chiu7,n̂g-tshú-tsiū,ng5-tshu2-tsiu7,"N ",chiah,,褐肩皂鷲,"spotted eagle, Aquila clanga",
22830,n̂g-chhú-lông,ng5-chhu2-long5,n̂g-tshú-lông,ng5-tshu2-long5,"N ",chiah,,黃鼠狼,"Chinese mink, gloden weasel, Mutela sibirica davidiana",
22831,n̂g-chhùi-eng-á,ng5-chhui3-eng-a2,n̂g-tshuì-ing-á,ng5-tshui3-ing-a2,"N ",chiah,,小燕鷗,"eastern little tern, Asiatic little tern, Sterna albifrons sinensis",
22832,n̂g-chhùi-kak-hiau,ng5-chhui3-kak-hiau,n̂g-tshuì-kak-hiau,ng5-tshui3-kak-hiau,"N ",chiah,,黃魚鴞,"Formosan scops owl, Otus spilocephalus hambroecki",
22833,n̂g-chhùi-pe̍h-lō͘,ng5-chhui3-peh8-loo7,n̂g-tshuì-pe̍h-lōo,ng5-tshui3-peh8-loo7,"N ",chiah,,唐白鷺,"Chinese egret, eastern reef heron, Egretta eulophotes",
22834,n̂g-eng,ng5-eng,n̂g-ing,ng5-ing,"N ",chiah,,蒼鷹,"Japanesee goshawk, Accipiter gentilis fujiyamae",
22835,n̂g-eng,ng5-eng,n̂g-ing,ng5-ing,"N ",chiah,,黃鸝,"eastern black-naped oriole, Oriolus chinensis diffusus",
22836,n̂g-eng-hî,ng5-eng-hi5,n̂g-ing-hî,ng5-ing-hi5,"N ",bé,,雙月斑孤鯛,"crescent wrasse, Bodianus bilunulatus",
22837,n̂g-ge̍k,ng5-gek8,n̂g-gi̍k,ng5-gik8,"N ",tè,,黃玉,chrysolite,
22838,n̂g-gû,ng5-gu5,n̂g-gû,ng5-gu5,"N ",chiah,,黃牛,"bovine draft animal, ox",
22839,n̂g-hê,ng5-he5,n̂g-hê,ng5-he5,"N ",bé/chiah,,青蝦,"shrimp, Metapenaeus joyneri",
22840,n̂g-heng-bû,ng5-heng-bu5,n̂g-hing-bû,ng5-hing-bu5,"N ",chiah,,金巫鳥,"Ussulian yellow-breasted bunting, Emberiza ayreola ornata",
22841,n̂g-heng-chhiⁿ-ong,ng5-heng-chhinn-ong,n̂g-hing-tshinn-ong,ng5-hing-tshinn-ong,N Orn,chiah,,黃胸青鶲,"Formosan rufous-breasted blue flycatcher, Muscicapa hyperythra innexa",
22842,n̂g-heng-chhiok,ng5-heng-chhiok,n̂g-hing-tshiok,ng5-hing-tshiok,"N ",chiah,,金巫鳥,"Ussulian yellow-breasted bunting, Emberiza aureola ornata",
22843,n̂g-hî,ng5-hi5,n̂g-hî,ng5-hi5,N Ich,bé,,黃魚,"either of two kinds of yellow croaker, Pseudosciaena crocea or Pseudosciaena polyactis",
22844,n̂g-hî-hiau,ng5-hi5-hiau,n̂g-hî-hiau,ng5-hi5-hiau,"N ",chiah,,黃魚鴞,"tawny fish owl, Bubo flavipes",
22845,n̂g-hio̍h-niau,ng5-hioh8-niau,n̂g-hio̍h-niau,ng5-hioh8-niau,"N ",chiah,,黃喉貂,"Formosan yellow-throated marten, Charronia flavigula chrusospila",
22846,n̂g-hô,ng5-ho5,n̂g-hô,ng5-ho5,"N ",,,黃河,The Yellow River,
22847,n̂g-hoe-á-chháu,ng5-hoe-a2-chhau2,n̂g-hue-á-tsháu,ng5-hue-a2-tshau2,"N ",châng,,金絲桃,Hypericum japonicum,
22848,n̂g-hoe-chúi-chó,ng5-hoe-chui2-cho2,n̂g-hue-tsuí-tsó,ng5-hue-tsui2-tso2,"N ",châng,,黃花水棗,"an aquatic plant, Utricularia aurea",
