id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
1,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,"Vph ",,,啞啞叫,cry (like a baby),
2,a-bí-pa,a-bi2-pa,a-bí-pa,a-bi2-pa,N Med,,,阿米巴,ameba,
3,a-bú/bó,a-bu2/bo2,a-bú/bó,a-bu2/bo2,"Na ",ê,,媽媽,"mother, mama ",
4,a-cha,a-cha,a-tsa,a-tsa,"SV ",,"a-a cha-cha, a-cha a-cha ",髒,"dirty, soiled(syn a-cham, a5-sam5, la5-sam5, la3-sap) ",
5,a-cham,a-cham,a-tsam,a-tsam,"SV ",,a-cham a-cham,髒,"dirty, soiled (syn a-cha, etc)",
6,a-ché,a-che2,a-tsé,a-tse2,"Na ",ê,,阿姊,sister (elder),
7,a-chek,a-chek,a-tsik,a-tsik,"Na ",ê,,叔叔,uncle (father's younger brother),
8,a-chek,a-chek,a-tsik,a-tsik,"Na ",ê,,爸爸,father (used to avoid making the spirits jealous),
9,a-chí,a-chi2,a-tsí,a-tsi2,"Na ",ê,,阿姊,sister (elder),
10,a-chím,a-chim2,a-tsím,a-tsim2,"Na ",ê,,嬸母,aunt (mother's sister),
11,A-chiu,A-chiu,A-tsiu,A-tsiu,"Np ",,,亞洲,Asia,
12,a-chó͘,a-choo2,a-tsóo,a-tsoo2,"Na ",ê,,曾祖父母,great-grand parent (father's side),
13,a-hê,a-he5,a-hê,a-he5,"N ",bé/chiah,,亞蝦,"shrimp, Trachypenaeus asper",
14,a-hiaⁿ,a-hiann,a-hiann,a-hiann,"Na ",ê,,哥哥,brother (elder),
15,a-î,a-i5,a-î,a-i5,"Na ",ê,,"阿姨                       ",aunt(mother's sister),
16,a-î,a-i5,a-î,a-i5,"Na ",ê,,媽媽,mother (used to avoid making the spirits jealous),
17,a-jia̍t-tài,a-jiat8-tai3,a-jia̍t-tài,a-jiat8-tai3,"Np ",,,亞熱帶,sub-tropical zone,
18,a-kè-kau,a-ke3-kau,a-kè-kau,a-ke3-kau,N Ich,bé,,ㄚ髻鮫,"any shark of the genus Sphyrne, hammerhead shark",
19,a-kīm,a-kim7,a-kīm,a-kim7,"Na ",ê,,舅母,aunt (mother's brother's wife),
20,a-ko,a-ko,a-ko,a-ko,"Na ",ê,,哥哥,brother (elder),
21,a-ko͘,a-koo,a-koo,a-koo,"Na ",ê,,姑母,aunt (father's sister),
22,a-kong,a-kong,a-kong,a-kong,"Na ",ê,,祖父,grandfather,
23,a-kū,a-ku7,a-kū,a-ku7,"Na ",ê,,舅父,uncle (mother's brother),
24,a-kū,a-ku7,a-kū,a-ku7,"Na ",ê,,舅父,brother-in-law (wife's brother),
25,a-khēng,a-kheng7,a-khīng,a-khing7,"N ",châng,,椏柏,"tallow tree, Sapium sebiferum",
26,A-lá,A-la2,A-lá,A-la2,"Npers ",,,阿賴,"Muslim: Allah, God",
27,A-lân,A-lan5,A-lân,A-lan5,"Np ",,,亞蘭,"Aram, Syria",
28,A-lat-pek,A-lat-pek,A-lat-pik,A-lat-pik,"Np ",,,阿拉伯,Arabic,
29,A-lí-san,A-li2-san,A-lí-san,A-li2-san,"Np ",,,阿里山,"Mt. Ali, Alishan",
30,A-lí-san bô-hio̍-lân,A-li2-san bo5-hio8-lan5,A-lí-san bô-hio̍-lân,A-li2-san bo5-hio8-lan5,N Bot,châng,,阿里山無葉蘭,"Alishanleafless orchid, Cheirostylis takeoi",
31,a-lí-san-eng,a-li2-san-eng,a-lí-san-ing,a-li2-san-ing,"N ",chiah,,高砂鶯,"Formosan bullfinch, Pyrrhula erythaca owstoni",
32,a-lí-san-jiû,a-li2-san-jiu5,a-lí-san-jiû,a-li2-san-jiu5,N Bot,châng,,阿里山榆,"Ali-shan elm, Ulmus ayematsui",
33,a-lí-san-kû,a-li2-san-ku5,a-lí-san-kû,a-li2-san-ku5,N Orn,chiah,,阿里山鴝,"Johnstone's bush robin, Tarsiger johnstoniae",
34,a-lí-san-liú,a-li2-san-liu2,a-lí-san-liú,a-li2-san-liu2,N Bot,châng,,阿里山柳,"Alishanwillow, mountain willow, Salix fulvopubescens",
35,a-lí-san-thian-gô-jiông-chiam-chhú,a-li2-san-thian-go5-jiong5-chiam-chhu2,a-lí-san-thian-gô-jiông-tsiam-tshú,a-li2-san-thian-go5-jiong5-tsiam-tshu2,N Zool,chiah,,阿里山天鵝绒尖鼠,"Alishan shrew, chodsigoa sodalis",
36,A-lí-sū-to͘-tek,A-li2-su7-too-tek,A-lí-sū-too-tik,A-li2-su7-too-tik,"Npers ",,,亞里斯多德,Aristotle,
37,A-lī-lū-ia,A-li7-lu7-ia,A-lī-lū-ia,A-li7-lu7-ia,I Xtn,,,阿利路亞,Alleluia!,
38,A-lio̍k-phài,A-liok8-phai3,A-lio̍k-phài,A-liok8-phai3,N Xtn,,,亞流派,Arianism,
39,a-ḿ,a-m2,a-ḿ,a-m2,"Na ",ê,,伯母,aunt (father's elder brother's wife),
40,a-ḿ,a-m2,a-ḿ,a-m2,"Na ",ê,,伯母,"auntie (polite for friend's mother, etc)",
41,a-má,a-ma2,a-má,a-ma2,"Na ",ê,,祖母,grandmother,
42,A-má-sùn,A-ma2-sun3,A-má-sùn,A-ma2-sun3,"Np ",,,亞馬遜,Amazon,
43,A-men,A-men,A-men,A-men," Xtn",,,阿們,End-of prayer marker: Amen,
44,a-mi-pah,a-mi-pah,a-mi-pah,a-mi-pah,"N ",,,阿米巴,Ameba,
45,A-mí-cho̍k,A-mi2-chok8,A-mí-tso̍k,A-mi2-tsok8,"N ",,,阿美族,Amis tribe (Taiwan aborigines),
46,a-mí-nó-sng,a-mi2-no2-sng,a-mí-nó-sng,a-mi2-no2-sng,"N ",,,氨基酸,amino-acid,
47,a-mô͘-ni-a,a-moo5-ni-a,a-môo-ni-a,a-moo5-ni-a,"N ",,,阿摩尼亞,ammonia,
48,A-mô͘-su,A-moo5-su,A-môo-su,A-moo5-su,Npers RC,,,亞毛斯,Amos (cf A-mo5-su7),
49,A-mô͘-su,A-moo5-su,A-môo-su,A-moo5-su,Npers Prot,,,亞毛斯,Amoz,
50,A-mô͘-sū,A-moo5-su7,A-môo-sū,A-moo5-su7,Npers Prot,,,阿摩司,Amos (cf A-mo5-su),
51,a-môa,a-moa5,a-muâ,a-mua5,"N ",châng,,亞麻,"flax, Linum uisitatissimum",
52,a-pa,a-pa,a-pa,a-pa,"Na ",ê,,爸爸,"father, daddy",
53,A-pak-tí-a,A-pak-ti2-a,A-pak-tí-a,A-pak-ti2-a,Npers RC,,,亞北底亞,"Abdias, Obadiah (cf O-pa-ti2)",
54,a-pē,a-pe7,a-pē,a-pe7,"Na ",ê,,爸爸,"father, daddy",
55,a-peh,a-peh,a-peh,a-peh,"Na ",ê,,伯父,uncle (father's elder brother),
56,a-peh-a,a-peh-a,a-peh-a,a-peh-a,"N ",,,老先生,old gentleman,
57,a-peh-a,a-peh-a,a-peh-a,a-peh-a,"Ra ",,,老先生,Sir (old gentleman),
58,A-pek-la̍h-hán,A-pek-lah8-han2,A-pik-la̍h-hán,A-pik-lah8-han2,Npers Bib,,,亞伯拉罕,Abraham,
59,A-pek-lân,A-pek-lan5,A-pik-lân,A-pik-lan5,Npers Bib,,,亞伯蘭,Abram,
60,a-peng-ko,a-peng-ko,a-ping-ko,a-ping-ko,"N ",ê,,阿兵哥,"soldier, Chinese G. I",
61,a-pô,a-po5,a-pô,a-po5,"N ",ê,,阿婆,elderly lady,
62,a-pô,a-po5,a-pô,a-po5,"Ra ",ê,,阿婆,"Madam, Ma'am",
63,a-pô-a,a-po5-a,a-pô-a,a-po5-a,"N ",ê,,阿婆,old woman,
64,a-put-tó,a-put-to2,a-put-tó,a-put-to2,"N ",,,"不倒翁                   ",sian: roly-poly doll,
65,a-put-tó,a-put-to2,a-put-tó,a-put-to2,"N ",ê,,打不倒的,"fig: person who 'bounces back' after failure, less, etc",
66,a-phiàn,a-phian3,a-phiàn,a-phian3,"N ",ko,,鴉片,opium (scooped from the container),
67,a-phiàn,a-phian3,a-phiàn,a-phian3,"N ",pok,,鴉片,opium pellet (for smoking),
68,a-sá-gá-o͘h,a-sa2-ga2-ooh,a-sá-gá-ooh,a-sa2-ga2-ooh,"N ",châng,,牽牛花,"common morning glory, Ipomoea hardwickii",
69,a-sam,a-sam,a-sam,a-sam,"N ",châng,,台灣杉,"Taiwania, Taiwania cryptomerioides",
70,a-sam,a-sam,a-sam,a-sam,"Nmod ",,,台灣杉,"Asia, Asian",
71,a-se-a,a-se-a,a-se-a,a-se-a,"Np ",,,亞細亞,"Asia (obs, cf A-chiu)",
72,a-soaⁿ(-á),a-soann(-a2),a-suann(-á),a-suann(-a2),"N ",ê,,外省人,mainlander (impolite),
73,a-sú-phí-lín,a-su2-phi2-lin2,a-sú-phí-lín,a-su2-phi2-lin2,"N ",lia̍p,,阿斯匹靈,"aspirin, acetylsalicylic acid",
74,a-tat-chí,a-tat-chi2,a-tat-tsí,a-tat-tsi2,"N ",châng,,砂糖椰子,"sago palm, Arenga pinnata",
75,a-tok-á,a-tok-a2,a-tok-á,a-tok-a2,"Na ",,,洋鬼子,"foreigner (""pointed nose"", a nickname for foreigners in general)",
76,A-tong,A-tong,A-tong,A-tong,Npers Bib,,,亞當,Adam,
77,á,a2,á,a2,"Msf ",,,一點,"little, short, few (has the effect of changing M into N or Nsub)",
78,á,a2,á,a2,"sf ",,,子,"(something diminutive, occurring in the following patterns)",
79,á,a2,á,a2,"sf ",,,子,N+a2 (see the respective noun),
80,á,a2,á,a2,"sf ",,,子,chit8+M+a2 (see chit8) nng7+M+a2 (see nng7),
81,á,a2,á,a2,"sf ",,,子,Nu+Nu+M+a2 (chit8-nng7-jit8-a2: about two days; gou7 lak8 jit8-a2: about six days),
82,á,a2,á,a2,"Nu ",,,百,hundred (ji7-a2-saN: two hundred thirty; saN-a2-si3: three hundred forty),
83,á,a2,á,a2,"C(Q) ",,,"或 , 或是",used to link alternative elements in an interrogative sentence) : …or…?,
84,á-né-á,a2-ne2-a2,á-né-á,a2-ne2-a2,"Na ",,,媽媽,mother,
85,á-sī,a2-si7,á-sī,a2-si7,"Cvb, Cn ",,,或許,"either, or",
86,á-tia,a2-tia,á-tia,a2-tia,"Na ",,,公公,father,
87,á,a2,á,a2,"I ",,,啊,oh!,
88,á,a2,á,a2,"BF ",,,啦,"(sf used to form a large number of Interjections) (khou-a3: Alas!, Chham2-a3: Alas! etc)",
89,Ā-bēng,A7-beng7,Ā-bīng,A7-bing7," Xtn",,,阿們,"End-of prayer marker: Amen (obs, cf A-men)",
90,á-pà,a2-pa3,á-pà,a2-pa3,"SV ",,á-pà á-pà,蠻不講理,"head-strong, unreasonable",
91,á-sèng,a2-seng3,á-sìng,a2-sing3," Title",,,亞聖,"(given to Mencius, second only to Confucius)",
92,â,a5,â,a5,"I ",,,咦,Ah! Aha! (surprise or suspicion),
93,â-sâm,a5-sam5,â-sâm,a5-sam5,"SV ",,,污穢,"dirty (syn a-cha, etc)",
94,ā,a7,ā,a7,"Cvb, Cn ",,,也,"also, and",
95,ā-ná-beh ā-ná-m̄,a7-na2-beh a7-na2-m7,ā-ná-beh ā-ná-m̄,a7-na2-beh a7-na2-m7,"sph ",,,半推半就,be half-hearted,
96,aⁿ-aⁿ-háu/kiò,ann-ann-hau2/kio3,ann-ann-háu/kiò,ann-ann-hau2/kio3,"Vph ",,,啞啞叫,cry (like a baby),
97,áⁿ,ann2,ánn,ann2,"V ",,,"擁                     ",shelter with one's body,
98,áⁿ,ann2,ánn,ann2,"V ",,,(收)養,adopt (a child),
99,àⁿ,ann3,ànn,ann3,"V ",,àN-àN,彎腰,"bend down, bow, stoop",
100,âⁿ,ann5,ânn,ann5,"I ",,,咦,Ah! Aha! (surprise or suspicion),
101,âⁿ,ann5,ânn,ann5,"V ",,,"保護                        ","protect (child) from harm, intervene to protect",
102,âⁿ,ann5,ânn,ann5,"V ",,,趕,"herd (ducks, etc), drive (fish into net)",
103,âⁿ-cha̍h,ann5-chah8,ânn-tsa̍h,ann5-tsah8,"V ",,,攔截(住),intervene (on behalf of someone) in a fight or quarrel,
104,āⁿ,ann7,ānn,ann7,"N ",,,餡,"filling (of pie, cake, etc)",
105,āⁿ,ann7,ānn,ann7,"V ",,,遮蓋,"shelter, cover",
106,ah,ah,ah,ah,"I ",,,啊,Oh!,
107,ah,ah,ah,ah," ",,,啦,Final particle (indicating action complete),
108,ah,ah,ah,ah,"V ",,,押,"escort, guard, restrain",
109,ah,ah,ah,ah,"V ",,,押,mark (the date on a document),
110,ah,ah,ah,ah,"V ",,,押,agree (in rhyme),
111,ah,ah,ah,ah,"N ",,,押,collateral,
112,ah,ah,ah,ah,"V ",,,抑制,"force or compel (sthg to stay in place), curb",
113,ah,ah,ah,ah,"V ",,,壓,"press, oppress, repress",
114,ah,ah,ah,ah,"N ",chiah,,鴨,duck (female),
115,ah-bah,ah-bah,ah-bah,ah-bah,"N ",,,鴨肉,duck meat,
116,ah-bó,ah-bo2,ah-bó,ah-bo2,"N ",chiah,,母鴨,duck (female),
117,ah-bó-le̍h,ah-bo2-leh8,ah-bó-le̍h,ah-bo2-leh8,N ST,,,斗笠,large rain-hat (cf hou7-leh8),
118,ah-bó/bú-tê/tôe,ah-bo2/bu2-te5/toe5,ah-bó/bú-tê/tuê,ah-bo2/bu2-te5/tue5,"N ",,,平底腳,flat feet,
119,ah-bú,ah-bu2,ah-bú,ah-bu2,"N ",,,母鴨,duck (female),
120,ah-bú-chháu,ah-bu2-chhau2,ah-bú-tsháu,ah-bu2-tshau2,N Bot,châng,,鴨母草,"a kind of motherwort, Leonurus sibiricus",
121,ah-bú-chháu,ah-bu2-chhau2,ah-bú-tsháu,ah-bu2-tshau2,N Bot,châng,,鴨母草,Lindernia ciliata,
122,ah-bú-chhī,ah-bu2-chhi7,ah-bú-tshī,ah-bu2-tshi7,"N ",châng,,江某,"common schefflera, schefflera octophylla",
123,ah-chè,ah-che3,ah-tsè,ah-tse3,"V ",,,抑制,inhibit,
124,ah-chi̍h-chháu,ah-chih8-chhau2,ah-tsi̍h-tsháu,ah-tsih8-tshau2,"N ",châng,,鴨舌草,"""duck's-tongue grass"", Manochoria vaginalis var. plantaginea",
125,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N Bot,châng,,鴨舌黃,Lindernia ciliata,
126,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N Bot,châng,,鴨舌黃,Borreria hispida,
127,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N Bot,châng,,鴨舌黃,Lippia nodiflora,
128,ah-cho͘,ah-choo,ah-tsoo,ah-tsoo,"N ",,,押租,rental deposit,
129,ah-chhi̍h,ah-chhih8,ah-tshi̍h,ah-tshih8,"V ",,,壓,"crush down, press down",
130,ah-chhùi(-poe)-hông,ah-chhui3(-poe)-hong5,ah-tshuì(-pue)-hông,ah-tshui3(-pue)-hong5,N Bot,châng,,鴨嘴箆黃,Lippia nodiflora,
131,ah-chhùi-môa,ah-chhui3-moa5,ah-tshuì-muâ,ah-tshui3-mua5,N Ich,bé,,鴨嘴鰻,"duckbill eel, any member of the genus Chlopsis",
132,ah-hó͘,ah-hoo2,ah-hóo,ah-hoo2,"N ",chiah,,花梨隼,"Siberian peregrine falcon, Falco peregrinus leucogenys",
133,ah-kang,ah-kang,ah-kang,ah-kang,"N ",chiah,,雄鴨,"drake, male duck",
134,ah-kiān-tîn,ah-kian7-tin5,ah-kiān-tîn,ah-kian7-tin5,"N ",châng,,台灣鴨腱藤,"soap-bark vine, Entada phaseoloides",
135,ah-kha-hiuⁿ,ah-kha-hiunn,ah-kha-hiunn,ah-kha-hiunn,"N ",châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",
136,ah-kha-pê,ah-kha-pe5,ah-kha-pê,ah-kha-pe5,"N ",châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",
137,ah-kha-sek,ah-kha-sek,ah-kha-sik,ah-kha-sik,"N ",châng,,鴨跖粟,"finger millet, raggee, Eleusine coracana",
138,ah-kha-sóe,ah-kha-soe2,ah-kha-sué,ah-kha-sue2,"N ",châng,,鴨跖粟,"finger millet, raggee, Eleusine coracana",
139,ah-kha-sóe,ah-kha-soe2,ah-kha-sué,ah-kha-sue2,"N ",châng,,鴨跖粟,"millet, Panicuns miliaceum",
140,ah-khoán,ah-khoan2,ah-khuán,ah-khuan2,"N ",,,押款,"deposit, guarantee-money",
141,ah-môa-koe,ah-moa5-koe,ah-muâ-kue,ah-mua5-kue,"N ",châng,,江某,"common schefflera, Schefflera octophylla",
142,ah-nn̄g,ah-nng7,ah-nn̄g,ah-nng7,"N ",lia̍p,,鴨蛋,duck egg,
143,ah-nn̄g-chhiⁿ,ah-nng7-chhinn,ah-nn̄g-tshinn,ah-nng7-tshinn,"N ",,,淡青色,"pale blue (color) ",
144,ah-nn̄g-jîn,ah-nng7-jin5,ah-nn̄g-jîn,ah-nng7-jin5,"N ",chiah,,黃眉黃鶲,"Narcissus flycatcher, Muscicapa narcissina narcissina",
145,ah-soah,ah-soah,ah-suah,ah-suah,"V ",,,抑制,restrain,
146,ah-tôe-chháu,ah-toe5-chhau2,ah-tuê-tsháu,ah-tue5-tshau2,"N ",châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",
147,ah-tôe-sóe,ah-toe5-soe2,ah-tuê-sué,ah-tue5-sue2,N Bot,châng,,鴨拓粟,"finger millet, raggee, Eleusine coracana",
148,ah-thô-chu,ah-tho5-chu,ah-thô-tsu,ah-tho5-tsu,"N ",châng,,鴨土珠,Phyllanthus niruri,
149,ah-ūn,ah-un7,ah-ūn,ah-un7,"VO ",,,押韻,"agree in rhyme, rhyme well",
150,a̍h,ah8,a̍h,ah8,"M, N ",,,盒,"small box, case",
151,a̍h,ah8,a̍h,ah8,"V ",,,趕,"force to turn (as a flock of ducks, etc)",
152,"Ai, ai","Ai, ai","Ai, ai","Ai, ai"," ",,,,,
153,ai,ai,ai,ai,"I ",,,唉呀,"Alas! Oh! (grief, pain, distress)",
154,ai,ai,ai,ai,"V ",,,唉呀,"scream, wail",
155,ai-ai-háu/ kiò,ai-ai-hau2/ kio3,ai-ai-háu/ kiò,ai-ai-hau2/ kio3,"Vph ",,,唉呀,"cry, wail",
156,ai-chhám,ai-chham2,ai-tshám,ai-tsham2,"SV ",,,哀傷,"deeply distressed, grieved",
157,ai-chhan,ai-chhan,ai-tshan,ai-tshan,"V ",,,呻吟,groan,
158,ai-háu,ai-hau2,ai-háu,ai-hau2,"V ",,,哀叫,cry,
159,ai-ioh,ai-ioh,ai-ioh,ai-ioh,"I ",,,唉,"Ouch! Hey! (pain, surprise)",
160,ai-keng,ai-keng,ai-king,ai-king,N RC,,,善行,"works of mercy, charitable actions",
161,ai-kiò,ai-kio3,ai-kiò,ai-kio3,"V ",,,悲傷,cry (in distress),
162,Ai-ki̍p,Ai-kip8,Ai-ki̍p,Ai-kip8,"Np ",,,埃及,Egypt,
163,ai-ki̍p-chhoe-mî-kài-khak-thâng,ai-kip8-chhoe-mi5-kai3-khak-thang5,ai-ki̍p-tshue-mî-kài-khak-thâng,ai-kip8-tshue-mi5-kai3-khak-thang5,N Ent,chiah,,埃及吹棉介殼虫,"Egyptian cotton scale, Icerya aegyptiaca",
164,ai-kiû,ai-kiu5,ai-kiû,ai-kiu5,"V ",,,哀求,"beseech, implore",
165,ai-kiû,ai-kiu5,ai-kiû,ai-kiu5,"N ",,,哀求,"supplication, entreaty",
166,Ai-ní-lân,Ai-ni2-lan5,Ai-ní-lân,Ai-ni2-lan5,"Np ",,,愛爾蘭,Ireland,
167,ai-oàn,ai-oan3,ai-uàn,ai-uan3,"V ",,,哀怨,repine bitterly,
168,ai-oàn,ai-oan3,ai-uàn,ai-uan3,"N ",,,哀怨,"repining, dejection",
169,ai-oh,ai-oh,ai-oh,ai-oh,"I ",,,噯唷,Ah! Alas! (regret),
170,ai-siā,ai-sia7,ai-siā,ai-sia7,"N, V ",,,(哀)謝,(a means used to) express thanks to visitors attending a funeral,
171,ai-siong,ai-siong,ai-siong,ai-siong,"SV ",,,哀傷,"sorrowful, mournful",
172,ai-sû,ai-su5,ai-sû,ai-su5,"N ",,,輓聯,"elegy, eulogy (cf tiau3-su5)",
173,Ai-tiân,Ai-tian5,Ai-tiân,Ai-tian5,Np Bib,,,伊甸園,Eden,
174,ai-tiⁿ,ai-tinn,ai-tinn,ai-tinn,"SV ",,,微甜,somewhat sweet,
175,aí-ah,ai2-ah,ái-ah,ai2-ah,"I ",,,噯呀,Ouch! Ow! (pain),
176,aí-bī,ai2-bi7,ái-bī,ai2-bi7,"N ",,,發臭的味,moldy flavor,
177,aí-sîm,ai2-sim5,ái-sîm,ai2-sim5,N Bot,lúi,,埃蕈,"an edible puffball, Lycoperdon gemmatum",
178,aì,ai3,ài,ai3,"V ",,,愛,"love (person), like (thing)",
179,aì,ai3,ài,ai3,"AV ",,,要,"want to, would like to",
180,aì,ai3,ài,ai3,"AV ",,,要,"feel like, need to",
181,aì,ai3,ài,ai3,"AV ",,,會,"might (catch cold, have a stomach ache, cry, etc)",
182,aì-â,ai3-a5,ài-â,ai3-a5,"I ",,,噯呀,Ah! Oh! (wonder),
183,aì-a̍h,ai3-ah8,ài-a̍h,ai3-ah8,"I ",,,唉啊,"Oh! Ouch! Damn! (surprise, pain, sudden anger)",
184,aì-beh,ai3-beh,ài-beh,ai3-beh,"AVph ",,,要,"want to, wish to",
185,aì-bō͘,ai3-boo7,ài-bōo,ai3-boo7,"V ",,,愛慕,"desire, long for, love (a person)",
186,aì-bō͘,ai3-boo7,ài-bōo,ai3-boo7,"V ",,,愛慕,"admire, adore",
187,aì-chêng,ai3-cheng5,ài-tsîng,ai3-tsing5,"N ",,,愛情,"affection, love",
188,aì-chú,ai3-chu2,ài-tsú,ai3-tsu2,"N ",,,愛子,beloved child,
189,aì-chhan,ai3-chhan,ài-tshan,ai3-tshan,N Xtn,,,愛餐,"agape, ""love-feast"" (cf ai3-ian3)",
190,aì-hō͘,ai3-hoo7,ài-hōo,ai3-hoo7,"V ",,,愛護,"protect lovingly, take care of",
191,aì-hō͘,ai3-hoo7,ài-hōo,ai3-hoo7,"N ",,,愛護,"kindly treatment, tender care",
192,aì-hò͘ⁿ,ai3-hoonn3,ài-hòonn,ai3-hoonn3,"V ",,,愛好,"like, be fond of",
193,aì-hò͘ⁿ,ai3-hoonn3,ài-hòonn,ai3-hoonn3,"N ",,,愛好,"fondness, liking",
194,aì-iàn,ai3-ian3,ài-iàn,ai3-ian3,N Xtn (Little Flock),,,愛宴,"agape, ""love-feast""",
195,aì-io̍k,ai3-iok8,ài-io̍k,ai3-iok8,"N ",,,慾望,"passion, physical desire",
196,aì-jîn,ai3-jin5,ài-jîn,ai3-jin5,"N ",,,愛人,sweetheart,
197,aì-kò͘,ai3-koo3,ài-kòo,ai3-koo3,"V ",,,照顧,treat kindly and considerately,
198,aì-kò͘,ai3-koo3,ài-kòo,ai3-koo3,"N ",,,照顧,kind assistance,
199,aì-kok,ai3-kok,ài-kok,ai3-kok,"SV ",,,愛國,patriotic,
200,aì-kháu,ai3-khau2,ài-kháu,ai3-khau2,"N ",,,隘口,"defile, entrance, narrow pass",
201,aì-khùn,ai3-khun3,ài-khùn,ai3-khun3,"SV ",,,睏倦,sleepy,
202,aì-māi,ai3-mai7,ài-māi,ai3-mai7,"SV ",,,曖昧,"ambiguous, obscure, vague",
203,aì-māi,ai3-mai7,ài-māi,ai3-mai7,"N ",,,曖昧,"ambiguity, obscurity, vagueness",
204,aì-sim,ai3-sim,ài-sim,ai3-sim,"N ",,,愛心,"loving heart, friendly attitude",
205,aì-sioh,ai3-sioh,ài-sioh,ai3-sioh,"V ",,,愛惜,"love, take good care of (time, objects)",
206,aì-sioh,ai3-sioh,ài-sioh,ai3-sioh,"N ",,,愛惜,"love, special care",
207,aì-tài,ai3-tai3,ài-tài,ai3-tai3,"V, N ",,,愛戴,love and  respect (a person),
208,aî,ai5,âi,ai5,"I ",,,咦,Ah! Aha! (surprise and suspicion),
209,aî--ià,ai5--ia3,âi--ià,ai5--ia3,"I ",,,啊呀,"Oh! Alas! Woe! (sadness, grief)",
210,aî-ò/oh,ai5-o3/oh,âi-ò/oh,ai5-o3/oh,"I ",,,唉唷,"Oh! Ouch! (surprise, pain)",
211,"Aiⁿ, aiⁿ","Ainn, ainn","Ainn, ainn","Ainn, ainn"," ",,,,,
212,aīⁿ,ainn7,āinn,ainn7,"V ",,,背(孩子),carry (a child) on the back,
213,aīⁿ-kin/kun,ainn7-kin/kun,āinn-kin/kun,ainn7-kin/kun,"N ",,,襁巾,cloth for carrying (a child) on the back,
214,"Ak, ak","Ak, ak","Ak, ak","Ak, ak"," ",,,,,
215,ak,ak,ak,ak,"V ",,,淋澆,"water (flowers, vegetables)",
216,ak,ak,ak,ak,"V ",,,淋澆,flood (a paddy) with water,
217,ak,ak,ak,ak,"V ",,,淋澆,"drench (of rain watering flowers, etc)",
218,ak-chak,ak-chak,ak-tsak,ak-tsak,"SV ",,,齷齪,"in disorder, a mess",
219,ak-chak,ak-chak,ak-tsak,ak-tsak,"SV ",,,心亂,upset (emotionally),
220,ak chúi,ak chui2,ak tsuí,ak tsui2,"VO ",,,澆水,"water (plants), drench with water",
221,ak-chhiú,ak-chhiu2,ak-tshiú,ak-tshiu2,"VO ",,,握手,shake hands,
222,ak-hō͘,ak-hoo7,ak-hōo,ak-hoo7,"Vpass ",,,淋雨,be drenched with rain,
223,ak-hō͘,ak-hoo7,ak-hōo,ak-hoo7,"VO ",,,淋雨,drench with rain,
224,ak-pûi,ak-pui5,ak-puî,ak-pui5,"VO ",,,施肥,drench with fertilizer or night-soil,
225,ak-tâm,ak-tam5,ak-tâm,ak-tam5,"RV ",,,淋濕,drench,
226,a̍k,ak8,a̍k,ak8,"N ",,,捲線筒,reel,
227,a̍k,ak8,a̍k,ak8,"N ",,,線軸,"bobbin, spool",
228,"Am, am","Am, am","Am, am","Am, am"," ",,,,,
229,am,am,am,am,"V ",,,掩蓋,cover (sthg) completely (so that it cannot be seen),
230,am,am,am,am,"V ",,,醃,pickle (in brine),
231,am-bah,am-bah,am-bah,am-bah,"VO ",,,醃肉,pickle meat (in brine),
232,am-bah,am-bah,am-bah,am-bah,"N ",,,醃肉,pickled meat,
233,am-cham,am-cham,am-tsam,am-tsam,"SV ",,,骯髒，污穢,"dirty, filthy",
234,am-kng,am-kng,am-kng,am-kng,"N ",ê,,水缸,"crock, water jar",
235,am-koe,am-koe,am-kue,am-kue,"N ",châng,,越瓜,"oriental pickling melon, Cucumis melo var. cognomen form. albus",
236,am-koe,am-koe,am-kue,am-kue,"N ",châng,,庵瓜,Cucumis melo form. viridis,
237,am-khàm,am-kham3,am-khàm,am-kham3,"V ",,,掩蓋，隱瞞,"conceal, cover up, hide (crime), keep secret",
238,ám,am2,ám,am2,"N ",,,泔,rice-water,
239,ám,am2,ám,am2,"SV ",,ám-ám,米湯,"watery, thin (liquid)",
240,ám-bê/ môe/moâi,am2-be5/ moe5/moai5,ám-bê/ muê/muâi,am2-be5/ mue5/muai5,"N ",,,稀飯,rice gruel,
241,àm,am3,àm,am3,"SV ",,,晚,late (at night),
242,àm,am3,àm,am3,"SV ",,àm-àm,暗,dark (color),
243,àm,am3,àm,am3,"SV ",,"àm-àm, àm-bo̍k-bo̍k, àm-bong-bong, àm-sô-sô",暗,dark (night),
