"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","PageNumber"
"839","Hu̍t-siú","Hut8-siu2","Hu̍t-siú","Hut8-siu2","佛手","248"
"840","Hu̍t-siú-hiuⁿ-kam","Hut8-siu2-hiunn-kam","Hu̍t-siú-hiunn-kam","Hut8-siu2-hiunn-kam","佛手香柑","248"
"841","Chài-seng-kiat","Chai3-seng-kiat","Tsài-sing-kiat","Tsai3-sing-kiat","再生橘","248"
"842","Sù-kùi-kiat","Su3-kui3-kiat","Sù-kuì-kiat","Su3-kui3-kiat","四季橘","248"
"843","Hoan-kam","Hoan-kam","Huan-kam","Huan-kam","蕃柑","248"
"844","Kong-sun-kiat","Kong-sun-kiat","Kong-sun-kiat","Kong-sun-kiat","公孫橘","248"
"845","Sng-kiat","Sng-kiat","Sng-kiat","Sng-kiat","酸橘","249"
"846","Phòng-kiat","Phong3-kiat","Phòng-kiat","Phong3-kiat","掽橘、凸橘","249"
"847","Tiⁿ-kiat","Tinn-kiat","Tinn-kiat","Tinn-kiat","甜橘","249"
"848","Phòng-kam","Phong3-kam","Phòng-kam","Phong3-kam","掽柑、凸柑","249"
"849","Seh-kam","Seh-kam","Seh-kam","Seh-kam","雪柑","249"
"850","Chúi-kam","Chui2-kam","Tsuí-kam","Tsui2-kam","水柑","249"
"851","Âng-kam","Ang5-kam","Âng-kam","Ang5-kam","紅柑","249"
"852","Tháng-kam","Thang2-kam","Tháng-kam","Thang2-kam","桶柑","249"
"853","Nî-kam","Ni5-kam","Nî-kam","Ni5-kam","年柑","249"
"854","Koâiⁿ-chhiûⁿ-tháng-kam","Koainn5-chhiunn5-thang2-kam","Kuâinn-tshiûnn-tháng-kam","Kuainn5-tshiunn5-thang2-kam","高墻桶柑","249"
"855","Hái-lâi-kam","Hai2-lai5-kam","Hái-lâi-kam","Hai2-lai5-kam","海梨柑","249"
"856","N̂g-phî","Ng5-phi5","N̂g-phî","Ng5-phi5","黃皮","250"
"857","N̂g-kam","Ng5-kam","N̂g-kam","Ng5-kam","黃柑","250"
"858","Kè-soaⁿ-hiuⁿ","Ke3-soann-hiunn","Kè-suann-hiunn","Ke3-suann-hiunn","過山香","250"
"859","Hoan-á-phang-chháu","Hoan-a2-phang-chhau2","Huan-á-phang-tsháu","Huan-a2-phang-tshau2","蕃仔香草","250"
