"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"kòe-kau-chhài","koe3-kau-chhai3","kuè-kau-tshài","kue3-kau-tshai3","61"
"kè-kau-chhài","ke3-kau-chhai3","kè-kau-tshài","ke3-kau-tshai3","61"
"o͘-chhiⁿ","oo-chhinn","oo-tshinn","oo-tshinn","62"
"o͘-chheⁿ","oo-chhenn","oo-tshenn","oo-tshenn","62"
"chhoah sái","chhoah sai2","tshuah sái","tshuah sai2","64"
"tu̍h-lān","tuh8-lan7","tu̍h-lān","tuh8-lan7","66"
"pháng-kauh","phang2-kauh","pháng-kauh","phang2-kauh","67"
"giâ-nn̄g","gia5-nng7","giâ-nn̄g","gia5-nng7","68"
"gô-nn̄g","go5-nng7","gô-nn̄g","go5-nng7","68"
"Bí-kok-koah-pau","Bi2-kok-koah-pau","Bí-kok-kuah-pau","Bi2-kok-kuah-pau","69"
"Tâi-oân","Tai5-oan5","Tâi-uân","Tai5-uan5","70"
"kàn-lín-niâ","kan3-lin2-nia5","kàn-lín-niâ","kan3-lin2-nia5","71"
"se-chng","se-chng","se-tsng","se-tsng","76"
"soe-chng","soe-chng","sue-tsng","sue-tsng","76"
"kha-chhiú chiān","kha-chhiu2 chian7","kha-tshiú tsiān","kha-tshiu2 tsian7","81"
"koah chhia-toaⁿ","koah chhia-toann","kuah tshia-tuann","kuah tshia-tuann","82"
"koe-á-chhiu","koe-a2-chhiu","kue-á-tshiu","kue-a2-tshiu","83"
"kái-piⁿ","kai2-pinn","kái-pinn","kai2-pinn","84"
"tio̍h--bô","tioh8--bo5","tio̍h--bô","tioh8--bo5","85"
"sé-bīn-chō","se2-bin7-cho7","sé-bīn-tsō","se2-bin7-tso7","86"
"sóe-bīn-chō","soe2-bin7-cho7","sué-bīn-tsō","sue2-bin7-tso7","86"
"sé-bīn--ê","se2-bin7--e5","sé-bīn--ê","se2-bin7--e5","87"
"sóe-bīn--ê","soe2-bin7--e5","sué-bīn--ê","sue2-bin7--e5","87"
"han-chî-hio̍h","han-chi5-hioh8","han-tsî-hio̍h","han-tsi5-hioh8","88"
"han-chû-hio̍h","han-chu5-hioh8","han-tsû-hio̍h","han-tsu5-hioh8","88"
"ti-chhài","ti-chhai3","ti-tshài","ti-tshai3","89"
"hóe-sio-sim","hoe2-sio-sim","hué-sio-sim","hue2-sio-sim","90"
"khàu-iau","khau3-iau","khàu-iau","khau3-iau","91"
"chhut-seng ji̍t-kî","chhut-seng jit8-ki5","tshut-sing ji̍t-kî","tshut-sing jit8-ki5","92"
"gêng-hoeh","geng5-hoeh","gîng-hueh","ging5-hueh","93"
"gêng-huih","geng5-huih","gîng-huih","ging5-huih","93"
"ba̍k-chhái","bak8-chhai2","ba̍k-tshái","bak8-tshai2","94"
"bàng-gah","bang3-gah","bàng-gah","bang3-gah","95"
"bàng-kah","bang3-kah","bàng-kah","bang3-kah","95"
"bīn-chu","bin7-chu","bīn-tsu","bin7-tsu","96"
"bīn-chir","bin7-chir","bīn-tsir","bin7-tsir","96"
"chhut-sì-nî-goe̍h","chhut-si3-ni5-goeh8","tshut-sì-nî-gue̍h","tshut-si3-ni5-gueh8","97"
"chhut-sì-nî-ge̍h","chhut-si3-ni5-geh8","tshut-sì-nî-ge̍h","tshut-si3-ni5-geh8","97"
"chheh-hêng tiān-náu","chheh-heng5 tian7-nau2","tsheh-hîng tiān-náu","tsheh-hing5 tian7-nau2","98"
"tah-ba̍k-kiàⁿ-jîn","tah-bak8-kiann3-jin5","tah-ba̍k-kiànn-jîn","tah-bak8-kiann3-jin5","99"
"chian-chúi-kiáu","chian-chui2-kiau2","tsian-tsuí-kiáu","tsian-tsui2-kiau2","100"
"té-kûn","te2-kun5","té-kûn","te2-kun5","101"
"Thài-pêng-tó͘","Thai3-peng5-too2","Thài-pîng-tóo","Thai3-ping5-too2","102"
"chhiau-kip-chhī-tiûⁿ","chhiau-kip-chhi7-tiunn5","tshiau-kip-tshī-tiûnn","tshiau-kip-tshi7-tiunn5","103"
"liông-kut-chhóe","liong5-kut-chhoe2","liông-kut-tshué","liong5-kut-tshue2","104"
"liông-kut-chhé","liong5-kut-chhe2","liông-kut-tshé","liong5-kut-tshe2","104"
"To-lá-é-bōng","To-la2-e2-bong7","To-lá-é-bōng","To-la2-e2-bong7","105"
"án-chóaⁿ kóng","an2-choann2 kong2","án-tsuánn kóng","an2-tsuann2 kong2","106"
"tō͘-chiam","too7-chiam","tōo-tsiam","too7-tsiam","107"
"thâu-khak","thau5-khak","thâu-khak","thau5-khak","108"
"pēⁿ-kiáⁿ","penn7-kiann2","pēnn-kiánn","penn7-kiann2","109"
"pīⁿ-kiáⁿ","pinn7-kiann2","pīnn-kiánn","pinn7-kiann2","109"
"bān-chhiáⁿ-sī","ban7-chhiann2-si7","bān-tshiánn-sī","ban7-tshiann2-si7","110"
"bān-chhiáⁿ-ī","ban7-chhiann2-i7","bān-tshiánn-ī","ban7-tshiann2-i7","110"
"chah-sin-ji̍p-tiān-a̍p","chah-sin-jip8-tian7-ap8","tsah-sin-ji̍p-tiān-a̍p","tsah-sin-jip8-tian7-ap8","111"
"kâu-gín-á","kau5-gin2-a2","kâu-gín-á","kau5-gin2-a2","112"
"Lí sī siáng","Li2 si7 siang2","Lí sī siáng","Li2 si7 siang2","113"
"lù-khah","lu3-khah","lù-khah","lu3-khah","114"
"chhit-hō-á","chhit-ho7-a2","tshit-hō-á","tshit-ho7-a2","115"
"phùi-that-á","phui3-that-a2","phuì-that-á","phui3-that-a2","116"
"Ang--ê góa ài--lí","Ang--e5 goa2 ai3--li2","Ang--ê guá ài--lí","Ang--e5 gua2 ai3--li2","117"
"Thâu--ê góa ài--lí","Thau5--e5 goa2 ai3--li2","Thâu--ê guá ài--lí","Thau5--e5 gua2 ai3--li2","118"
"Chúi-chheⁿ tò-thâu kiâⁿ","Chui2-chhenn to3-thau5 kiann5","Tsuí-tshenn tò-thâu kiânn","Tsui2-tshenn to3-thau5 kiann5","119"
"thún-ta̍h bîn-chú","thun2-tah8 bin5-chu2","thún-ta̍h bîn-tsú","thun2-tah8 bin5-tsu2","120"
"Góa kiōng-beh bē-hù--ah","Goa2 kiong7-beh be7-hu3--ah","Guá kiōng-beh bē-hù--ah","Gua2 kiong7-beh be7-hu3--ah","121"
"Góa teh-beh","Goa2 teh-beh","Guá teh-beh","Gua2 teh-beh","122"
"teh-boeh bē-hù","teh-boeh be7-hu3","teh-bueh bē-hù","teh-bueh be7-hu3","122"
"bōe-hù--ah","boe7-hu3--ah","buē-hù--ah","bue7-hu3--ah","122"
"au-bú","au-bu2","au-bú","au-bu2","123"
"chúi-chheⁿ ge̍k-hêng","chui2-chhenn gek8-heng5","tsuí-tshenn gi̍k-hîng","tsui2-tshenn gik8-hing5","124"
"chúi-chhiⁿ ge̍k-hêng","chui2-chhinn gek8-heng5","tsuí-tshinn gi̍k-hîng","tsui2-tshinn gik8-hing5","124"
"sāi-thái","sai7-thai2","sāi-thái","sai7-thai2","125"
"tiàu-khò͘","tiau3-khoo3","tiàu-khòo","tiau3-khoo3","126"
"tiān-sī-tâi","tian7-si7-tai5","tiān-sī-tâi","tian7-si7-tai5","127"
"khàu-pē-khàu-bú","khau3-pe7-khau3-bu2","khàu-pē-khàu-bú","khau3-pe7-khau3-bu2","128"
"pó-kè-bōng","po2-ke3-bong7","pó-kè-bōng","po2-ke3-bong7","129"
"chúi-ah-chhia","chui2-ah-chhia","tsuí-ah-tshia","tsui2-ah-tshia","130"
"án-chóaⁿ kóng","an2-choann2 kong2","án-tsuánn kóng","an2-tsuann2 kong2","131"
"án-ná-kóng","an2-na2-kong2","án-ná-kóng","an2-na2-kong2","131"
"liông-kut","liong5-kut","liông-kut","liong5-kut","132"
"chhit--á","chhit--a2","tshit--á","tshit--a2","133"
"chhè-siong","chhe3-siong","tshè-siong","tshe3-siong","134"
"chhòng siáⁿ","chhong3 siann2","tshòng siánn","tshong3 siann2","135"
"kâu-thâu-kó","kau5-thau5-ko2","kâu-thâu-kó","kau5-thau5-ko2","136"
"sńg-chúi","sng2-chui2","sńg-tsuí","sng2-tsui2","137"
"tòng-làu-sái-io̍h","tong3-lau3-sai2-ioh8","tòng-làu-sái-io̍h","tong3-lau3-sai2-ioh8","138"
"Sîn-keng thiàⁿ","Sin5-keng thiann3","Sîn-king thiànn","Sin5-king thiann3","139"
