"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"án-ni","an2-ni","án-ni","an2-ni","76"
"ân","an5","ân","an5","77"
"an-choân","an-choan5","an-tsuân","an-tsuan5","78"
"an-choân tē-it","an-choan5 te7-it","an-tsuân tē-it","an-tsuan5 te7-it","79"
"an-sim","an-sim","an-sim","an-sim","80"
"an-lo̍k","an-lok8","an-lo̍k","an-lok8","81"
"an-ún","an-un2","an-ún","an-un2","82"
"an-ùi","an-ui3","an-uì","an-ui3","83"
"àn-sǹg","an3-sng3","àn-sǹg","an3-sng3","84"
"àn-kiāⁿ","an3-kiann7","àn-kiānn","an3-kiann7","85"
"âng","ang5","âng","ang5","86"
"âng-sek","ang5-sek","âng-sik","ang5-sik","87"
"âng-tê","ang5-te5","âng-tê","ang5-te5","88"
"âng-iⁿ-á","ang5-inn-a2","âng-inn-á","ang5-inn-a2","89"
"âng-eⁿ-á","ang5-enn-a2","âng-enn-á","ang5-enn-a2","89"
"seⁿ âng-eⁿ-á","senn ang5-enn-a2","senn âng-enn-á","senn ang5-enn-a2","90"
"siⁿ âng-iⁿ-á","sinn ang5-inn-a2","sinn âng-inn-á","sinn ang5-inn-a2","90"
"ang-á","ang-a2","ang-á","ang-a2","91"
"ang-á tô͘","ang-a2 too5","ang-á tôo","ang-a2 too5","92"
"ang","ang","ang","ang","93"
"ang-bó͘","ang-boo2","ang-bóo","ang-boo2","94"
"âng-phôe-chhài","ang5-phoe5-chhai3","âng-phuê-tshài","ang5-phue5-tshai3","95"
"kiô","kio5","kiô","kio5","95"
"âng-mô͘-thô͘","ang5-moo5-thoo5","âng-môo-thôo","ang5-moo5-thoo5","96"
"âng-mn̂g-thô͘","ang5-mng5-thoo5","âng-mn̂g-thôo","ang5-mng5-thoo5","96"
"chúi-nî","chui2-ni5","tsuí-nî","tsui2-ni5","96"
"a̍p","ap8","a̍p","ap8","97"
"ap-pek","ap-pek","ap-pik","ap-pik","98"
"at","at","at","at","99"
"āu","au7","āu","au7","100"
"āu-piah","au7-piah","āu-piah","au7-piah","101"
"āu-bīn","au7-bin7","āu-bīn","au7-bin7","102"
"āu-pái","au7-pai2","āu-pái","au7-pai2","103"
"āu-lâi","au7-lai5","āu-lâi","au7-lai5","104"
"āu--ji̍t","au7--jit8","āu--ji̍t","au7--jit8","105"
"āu-ji̍t","au7-jit8","āu-ji̍t","au7-jit8","106"
"āu","au7","āu","au7","107"
"āu-kù","au7-ku3","āu-kù","au7-ku3","108"
"āu lé-pài","au7 le2-pai3","āu lé-pài","au7 le2-pai3","109"
"āu-chú-ji̍t","au7-chu2-jit8","āu-tsú-ji̍t","au7-tsu2-jit8","110"
"āu-kó͘-goe̍h","au7-koo2-goeh8","āu-kóo-gue̍h","au7-koo2-gueh8","111"
"āu-goe̍h-ji̍t","au7-goeh8-jit8","āu-gue̍h-ji̍t","au7-gueh8-jit8","112"
"āu lé-pài gō͘","au7 le2-pai3 goo7","āu lé-pài gōo","au7 le2-pai3 goo7","113"
"āu-nî","au7-ni5","āu-nî","au7-ni5","114"
"āu--nî","au7--ni5","āu--nî","au7--ni5","115"
"au-á","au-a2","au-á","au-a2","116"
"au-chiu","au-chiu","au-tsiu","au-tsiu","117"
"àu","au3","àu","au3","118"
"áu","au2","áu","au2","119"
"āu-bú","au7-bu2","āu-bú","au7-bu2","120"
"āu-bó","au7-bo2","āu-bó","au7-bo2","120"
"bā","ba7","bā","ba7","121"
"bâ","ba5","bâ","ba5","122"
"bâ-io̍h","ba5-ioh8","bâ-io̍h","ba5-ioh8","123"
"bā","ba7","bā","ba7","124"
"ba̍t","bat8","ba̍t","bat8","124"
"bah","bah","bah","bah","125"
"ti-bah","ti-bah","ti-bah","ti-bah","126"
"gû-bah","gu5-bah","gû-bah","gu5-bah","127"
"iûⁿ-bah","iunn5-bah","iûnn-bah","iunn5-bah","128"
"ke-bah","ke-bah","ke-bah","ke-bah","129"
"ah-bah","ah-bah","ah-bah","ah-bah","130"
"chiaⁿ-bah","chiann-bah","tsiann-bah","tsiann-bah","131"
"sán-bah","san2-bah","sán-bah","san2-bah","131"
"pûi-bah","pui5-bah","puî-bah","pui5-bah","132"
"bah-thng","bah-thng","bah-thng","bah-thng","133"
"bah-suh","bah-suh","bah-suh","bah-suh","134"
"bái","bai2","bái","bai2","135"
"bāi","bai7","bāi","bai7","136"
"chhì khòaⁿ-bāi","chhi3 khoann3-bai7","tshì khuànn-bāi","tshi3 khuann3-bai7","137"
"chia̍h khòaⁿ bāi","chiah8 khoann3 bai7","tsia̍h khuànn bāi","tsiah8 khuann3 bai7","138"
"khì khòaⁿ bāi","khi3 khoann3 bai7","khì khuànn bāi","khi3 khuann3 bai7","139"
"chò khòaⁿ-bāi","cho3 khoann3-bai7","tsò khuànn-bāi","tso3 khuann3-bai7","140"
