poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
Jī-káu-mê,Ji7-kau2-me5,Jī-káu-mê,Ji7-kau2-me5,73
Lī-káu-mî,Li7-kau2-mi5,Lī-káu-mî,Li7-kau2-mi5,73
si̍p-pat-tâu-á,sip8-pat-tau5-a2,si̍p-pat-tâu-á,sip8-pat-tau5-a2,74
cha̍p-peh-piàn,chap8-peh-pian3,tsa̍p-peh-piàn,tsap8-peh-pian3,75
cha̍p-poeh-piàn,chap8-poeh-pian3,tsa̍p-pueh-piàn,tsap8-pueh-pian3,75
chhit-sia̍h,chhit-siah8,tshit-sia̍h,tshit-siah8,76
chhit-se̍k,chhit-sek8,tshit-si̍k,tshit-sik8,76
liáu-kang,liau2-kang,liáu-kang,liau2-kang,77
lâng-kang,lang5-kang,lâng-kang,lang5-kang,78
lâng-châi,lang5-chai5,lâng-tsâi,lang5-tsai5,79
ji̍p-thó͘,jip8-thoo2,ji̍p-thóo,jip8-thoo2,80
li̍p-thó͘,lip8-thoo2,li̍p-thóo,lip8-thoo2,80
thiau-kang,thiau-kang,thiau-kang,thiau-kang,81
tiau-kang,tiau-kang,tiau-kang,tiau-kang,81
jîn-tiong,jin5-tiong,jîn-tiong,jin5-tiong,82
lîn-tiong,lin5-tiong,lîn-tiong,lin5-tiong,82
chhit-khóng,chhit-khong2,tshit-khóng,tshit-khong2,83
káu-kháng,kau2-khang2,káu-kháng,kau2-khang2,84
jī-chhiú,ji7-chhiu2,jī-tshiú,ji7-tshiu2,85
lī-chhiú,li7-chhiu2,lī-tshiú,li7-tshiu2,85
ji̍p-bo̍k,jip8-bok8,ji̍p-bo̍k,jip8-bok8,86
li̍p-bo̍k,lip8-bok8,li̍p-bo̍k,lip8-bok8,86
pat-sian,pat-sian,pat-sian,pat-sian,87
to-á,to-a2,to-á,to-a2,88
pat-sian-toh,pat-sian-toh,pat-sian-toh,pat-sian-toh,89
pat-sian-chhái,pat-sian-chhai2,pat-sian-tshái,pat-sian-tshai2,90
tiau-kó͘-tóng,tiau-koo2-tong2,tiau-kóo-tóng,tiau-koo2-tong2,91
liáu-pún,liau2-pun2,liáu-pún,liau2-pun2,92
jîn-bîn,jin5-bin5,jîn-bîn,jin5-bin5,93
lîn-bîn,lin5-bin5,lîn-bîn,lin5-bin5,93
jîn-seng,jin5-seng,jîn-sing,jin5-sing,94
lîn-seng,lin5-seng,lîn-sing,lin5-sing,94
